"gene" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "som$unit.classif" "som$distances"
"1" "Solyc00g005050.2.1" 9.52573525929202 1.29697848692351 3.96377910765391 11.0248309687251 9.45763038364352 6.84258864232877 0.668230625438969 -1.52498426925402 -0.814200489351512 1.06778539773936 0.650078596912003 -0.0469098614848016 1.06919589403244 1.42908942457358 0.0469298892872967 1.85323534220985 0.284068790116875 5.68989300120393e-16 2 3.07945328922305
"2" "Solyc00g005070.1.1" 16.1747739263126 14.2025961928541 158.811325852359 4.47981874606273 11.5423469510571 3.10766739538249 -0.303938017890561 -0.336260498776126 2.03376570170657 -0.495609366196615 -0.379859944105039 -0.51809787473823 -1.33925855190906 0.0674453132518677 -1.62126218237869 -0.329811993082715 -0.00164145118840375 -2.83106871279415e-15 3 0.0705964125956186
"3" "Solyc00g005080.1.1" 11.7960480844545 7.78756919846041 15.4823295556157 8.51852745978849 11.4638716206945 7.04133586105731 0.455371267174585 -0.805429066393893 1.61482976518654 -0.575518308243916 0.350890687826755 -1.04014434555007 -1.73875288323091 1.19951080707249 -1.10381632355727 0.527018927751495 -0.0334497408791519 -3.77475828372553e-15 3 1.91683861533182
"4" "Solyc00g005840.2.1" 13.5849171355865 44.2405788217503 7.50785743010054 19.32767921803 10.4522998884422 29.7087760263492 -0.51913216209007 1.68544634411098 -0.956159271299774 -0.106145811223094 -0.744411939832595 0.640402840334549 0.206797813687897 -1.68382329750641 1.26845869542014 -0.731826477822211 -0.0636557922314799 1.80411241501588e-15 5 1.5439835783039
"5" "Solyc00g005870.1.1" 6.11047178911882 0.529139521994693 37.6123822051538 1.4560895723767 2.34432617526463 1.56409942215704 -0.148834675158649 -0.533603747563983 2.02286202191315 -0.469701135430959 -0.408467373057992 -0.462255090701565 -1.29265760175347 0.149966350680035 -1.68580411804114 -0.0785290765937356 -0.133069872895647 -2.83106871279415e-15 3 0.10879970450381
"6" "Solyc00g005880.1.1" 1.83994273297518 1.12358110517276 61.6388001374373 2.03581244046073 5.71122618833261 1.78741775359458 -0.43457521218634 -0.464178432130356 2.0365771491925 -0.426481012544669 -0.274596716484188 -0.436745775846943 -1.13027980776081 0.18002028083254 -1.71729771183084 -0.441774781333857 0.0209903593499318 -2.74780198594726e-15 3 0.0791410975722248
"7" "Solyc00g006470.1.1" 465.981188181834 290.629944370734 91.6482964794338 289.66091581708 250.563212813792 118.95111430773 1.58213828896391 0.290216734616347 -1.17580468754875 0.283077299229208 -0.00497976918737557 -0.974647866073338 -0.996912381292655 0.355463535680992 1.53751365839009 2.25440212049579 0.373939400949546 -4.9960036108132e-16 6 1.50908225623845
"8" "Solyc00g006670.2.1" 5.33851128897235 3.90579069096168 1.01005639443944 4.79133006593083 5.39388811188598 0.316425084848019 0.838314329144551 0.199167633243112 -1.09263972291586 0.594212952189481 0.863018317796567 -1.40207350945785 -0.65748410434376 1.13560248310873 1.41089488815051 1.39694308974222 1.28476648153014 3.33066907387547e-16 6 3.85797568860576
"9" "Solyc00g006680.1.1" 505.459597856094 401.809263909545 97.0791702840498 320.869359517107 523.314577675243 108.547991492003 0.953933220408937 0.402417630061832 -1.21902815870969 -0.0282574816715626 1.04893821808383 -1.15800342817335 -0.98087036194779 1.21320302768833 1.78849533896971 1.08912357983395 0.606614406555303 -2.22044604925031e-16 6 3.90836417207063
"10" "Solyc00g006690.2.1" 34.9977598562337 21.0206762384574 13.9671028032968 21.7155147027529 19.8464743447428 6.33409714277555 1.61570423031028 0.14458870136853 -0.59781376961609 0.217721815749495 0.0210016436393024 -1.40120262145152 -1.49980153826979 0.57651965234969 1.10185306005469 2.28725949553324 0.606599763606833 -1.11022302462516e-15 6 1.20435761544287
"11" "Solyc00g006800.2.1" 113.105671769042 141.83201019257 71.5409559186696 72.3354439965562 54.6199182015368 125.20936015036 0.476505351533562 1.29787722168903 -0.711954099411952 -0.689237310772594 -1.1957771397793 0.82258597674125 -0.534210240861433 -1.72087773223761 1.16042873163209 0.300606482757991 -1.18880912821287 5.55111512312578e-17 5 2.5886754978524
"12" "Solyc00g006810.2.1" 10.0078758135257 11.7187654476969 4.62169273348256 11.9040126039556 13.9037588819513 17.3495792730829 -0.372179627246169 0.0317510091613236 -1.64382469182278 0.0754867360169623 0.547614669105772 1.3611519047849 1.60469028845649 0.126858766651718 1.21341302891308 -0.336952489271595 -0.833867457439231 2.1094237467878e-15 4 2.20396511064281
"13" "Solyc00g007140.1.1" 6.45402460813104 15.9649196448838 2.98794650123361 4.15435285224845 3.46050660196192 5.49621603244434 0.00708472137028644 1.96794167765737 -0.707515044548766 -0.467037571250336 -0.610087540912557 -0.190386242316001 -1.00289201594808 -1.38837428352429 1.5406214881062 -0.375259277371039 0.147863245522649 4.16333634234434e-16 5 0.393702448653462
"14" "Solyc00g008580.1.1" 49.5705919074477 14.9889206851983 4.33300335343727 25.7189413083003 28.6730508903516 11.8267657025328 1.68965956502436 -0.470297244902043 -1.13586141208265 0.199895383053097 0.384407839608848 -0.667804130701613 -0.646683987103125 1.03957054535505 1.24651486835311 2.42240504347954 -0.122793089452078 -6.66133814775094e-16 6 1.78556937541264
