"genotype" "gene" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "ssom$unit.classif" "ssom$distances"
"17" "tf2" "Solyc00g010770.1.1" 4.0003561950539 3.12154722675391 1.01005639443944 1.58380858196074 14.7747570744005 3.22542073952367 -1.44901112358148 -0.254634675938971 0.00912190245599138 0.355251425678277 -0.282313286258911 1.62158575764509 -1.55052535274798 -0.720984131767905 -0.945040448678519 -0.992571917715945 -0.382650128418598 -1.4432899320127e-15 24 0.0364778476913894
"18" "tf2" "Solyc00g011150.1.1" 158.898967620173 35.5250895917745 14.2899485980518 50.5617752737232 55.5662477737109 25.0597033395116 1.99086996003394 -0.160830991498407 -0.796062035941803 -0.340135669063274 -0.245788771102031 -0.448052492428424 1.20599184803938 0.433607025044033 0.129816029785659 2.07753795635643 -0.150544916412174 3.33066907387547e-16 10 0.0219939772096255
"19" "tf2" "Solyc00g011160.1.1" 91.6899595787717 62.5105166481702 19.3245489167534 54.7752899862371 87.3181688291173 11.4995577995018 2.03407511737315 -0.426979563233876 -0.543187015509584 -0.401159038296966 -0.283272195437889 -0.379477304894837 1.38065735479483 0.203176063689793 -0.154903055935972 2.03178412980294 -0.0613034093820171 -1.66533453693773e-16 10 0.0215092072364519
"20" "tf2" "Solyc00g011170.1.1" 248.639440426031 182.944980264243 52.9502164154429 137.221154346146 115.279757030841 42.9179707493265 1.99927892021333 -0.332078251271615 -0.770884825493611 -0.41398694892254 -0.16823076189939 -0.314098132626173 1.22756721830979 0.19086932075579 0.0348878979027256 2.09755757957465 -0.234225800116873 2.77555756156289e-17 10 0.0279225613608433
"21" "tf2" "Solyc00g012430.1.1" 68.5704432114148 32.2757682609243 9.37624066693677 68.1683290822046 48.3621942209961 14.1395065412381 1.98202302386923 -0.0520740979879922 -0.751585435455212 -0.394432998419283 -0.248540255169086 -0.535390236837654 1.28943944335077 0.547580801245929 0.197886659465473 2.0035045493005 -0.164183875387165 7.7715611723761e-16 10 0.00873537727586449
"22" "tf2" "Solyc00g012440.1.1" 885.241616663068 742.107296135216 160.330800774465 695.77150522025 905.013663045961 185.23888385402 1.97875141626267 -0.450895965442064 -0.700346602151686 -0.400554838926463 0.0503043967060668 -0.47725840644852 1.37289245465715 -0.0277869391318535 0.234598842287865 2.05288677014274 -0.105387101921338 2.22044604925031e-16 10 0.0247106516309259
"23" "tf2" "Solyc00g013160.1.1" 12.0659751416456 3.36863448737173 11.244840157401 7.97263705981582 6.19401336686169 5.11730783550676 1.97826141930977 -0.12124518622185 -0.486011474004478 -0.749962594495658 -0.110166857751572 -0.510875306836214 1.64927590057246 0.354201224492686 0.137097803546396 1.78590863194533 -0.372849229382325 6.10622663543836e-16 5 0.0580078494333006
"24" "tf2" "Solyc00g013180.1.1" 56.8812167244601 36.7370886184883 55.0327907146046 55.0363598186819 74.5056135214187 50.9647444155056 1.99932959674648 -0.361808485176719 -0.311896417201519 -0.298459041209021 -0.232616663340943 -0.794548989818282 1.63358311289056 0.325395589401158 0.0636498888318984 1.86056073745085 0.303689636121371 5.55111512312578e-16 4 0.0321808389168131
"25" "tf2" "Solyc00g014790.2.1" 3.77958873774954 6.81022599839628 9.80978821523539 4.88981554621694 4.8890688261527 3.95794616997213 -0.414376035628807 -0.184560377624596 -0.416779496289974 -0.574186910167073 -0.435280016281959 2.02518283599241 -0.940516562700974 -0.525225374856855 -1.29619696809979 -0.0809475992441439 -1.51393228956332 -1.55431223447522e-15 18 0.0172601719635091
"26" "tf2" "Solyc00g014800.1.1" 75.1590409119464 15.7915328286483 124.303609420505 5.63443590866402 10.0968722062073 4.19087383266486 -0.478141992562308 -0.540572206162643 0.141312141319577 -0.557384586036841 -0.531447915333692 1.96623455877591 -0.642469127034728 -0.78436916933636 -1.69648024635517 -0.347626773406613 -1.14683642742455 -1.88737914186277e-15 18 0.0187206897070991
"27" "tf2" "Solyc00g014830.2.1" 81.7063242065753 117.961028799942 106.126665942674 88.1508656885039 101.120213314631 73.1327527043836 2.0123527097473 -0.273649341745092 -0.304104307026608 -0.573387105781394 -0.634882005096602 -0.226329950097608 1.44961170633102 0.520360377294433 -0.576488054859758 1.83511016096692 -0.194992931763714 1.11022302462516e-16 2 0.0335185057554965
"28" "tf2" "Solyc00g019730.1.1" 131.719432286805 77.0532261133049 66.1989976459106 133.966374569106 168.573007070124 155.823714843854 0.236094976921244 -0.437707482299476 -1.57804759926129 1.09137289031633 0.990081942399363 -0.301794728076168 -0.780779395336204 -0.88804775151149 1.59478107279098 1.34230159450887 0.565898622350312 -1.80411241501588e-15 33 0.0698448229796572
"29" "tf2" "Solyc00g019970.2.1" 19.0088305327243 18.8580688285427 34.7151410089426 4.81352560169901 81.6219853284313 9.17186105676661 1.85412462416095 0.0639897437434158 -0.44082356786759 -1.1435095973371 -0.151356317519109 -0.182424885180565 1.65126571035884 0.415114939443056 -0.0416889863003951 1.54208245663953 -0.907180630495001 1.83186799063151e-15 4 0.0188209035662349
"30" "tf2" "Solyc00g019990.1.1" 8.90906089948592 4.58583277007837 5.60653581974702 3.88664142906077 2.98296839044087 1.22984920649441 2.00046788585578 -0.46695584515168 -0.052129823796553 -0.642566666337882 -0.498985640241115 -0.33982991032855 1.71174154997475 0.27124553784477 -0.581937619034492 1.70527530012465 -0.0612582870249025 -1.11022302462516e-16 3 0.0100415822169726
"31" "tf2" "Solyc00g020010.1.1" 4.81712839640435 5.32370407834466 809.411599996293 2.44610675398439 4.30296587606945 2.17511514617251 1.18438261177565 -0.969205858545921 0.460205496050085 -1.45393665838114 0.268688142984189 0.509866266117136 1.78063830956301 -1.12362989333812 -0.791671934688522 0.671810308535926 -0.96353036857707 -4.71844785465692e-16 5 0.0456550333718616
"32" "tf2" "Solyc00g020040.1.1" 135.236395403332 146.243929516544 129.579231650161 116.344583198783 112.482176801066 136.311110596975 -0.465895572053892 -0.702367503409476 -0.210766381666827 1.96818190683615 0.0199936525666244 -0.609146102272575 -0.902978754697457 -0.479818166976337 0.470063564145049 0.301994534264561 2.16128254815172 -1.77635683940025e-15 19 0.0264773469539461
"33" "tf2" "Solyc00g021630.1.1" 48.7281569338579 45.7950684213677 88.4686995744502 41.6665245052176 23.9177707286971 35.0545415365376 -0.0652105085320815 -0.325136801358011 -0.490006582984833 1.96092264995678 -0.207947847215422 -0.872620909866437 -0.781107639220139 0.153869600076138 0.640215965895396 0.701523639497141 2.11759558351656 -1.22124532708767e-15 6 0.0481356866845146
"34" "tf2" "Solyc00g023580.1.1" 5.31274267442183 35.9694835347319 2.75373614294146 0.27109157661712 35.4344341132485 2.18366988343944 -0.383023941858381 -1.05507624399668 -0.015751491996963 -0.924818763781693 1.35596713406178 1.02270330757193 0.350145054080514 -2.30111678401988 0.204935275840679 -0.293080451052293 -1.11151119057476 -1.72084568816899e-15 30 0.0802972695872241
"35" "tf2" "Solyc00g023600.1.1" 18.3755773162303 8.99679449846593 35.4303918817658 14.8408809180252 12.5684572774717 6.90585742284337 -0.806289798320935 0.0941701470593632 -0.0596817635025701 -1.20589363234007 0.307801075267174 1.66989397183704 -0.31746237313848 -0.817874066725825 -0.522438495649815 -0.874823526280374 -1.90328771498836 -2.22044604925031e-16 18 0.030335597281338
"36" "tf2" "Solyc00g023710.1.1" 3.9947830249487 0.262280771670524 63.5971470243917 1.39036015339059 0.211288361782708 2.39925131776569 -0.0785248517573878 -0.845758254792093 -0.31897648658567 -0.417494931239006 -0.314923137356225 1.97567766173038 -0.705046223806863 -1.11482220255186 -1.49588126245749 0.33424514351512 -1.14136527063352 -2.22044604925031e-15 18 0.0042946652557708
"37" "tf2" "Solyc00g026160.2.1" 7.53669693940485 2.16432555583662 1.09939813388124 3.36971363640495 2.56288975790226 4.91224454108304 0.381069583586678 0.663967300557754 -0.799037104942913 -1.05682096896338 -0.673914898159853 1.48473608792171 -0.303332953707643 0.643395019590028 -0.839388881626841 0.476804338968711 -1.97436365860046 9.99200722162641e-16 16 0.0493424134392747
"38" "tf2" "Solyc00g036520.1.1" 1.83280009147189 1.01186243117637 23.4593951475452 1.42513781280202 3.95432100017425 1.22148479863528 -0.585139868944593 -0.495948387928912 0.487677348251668 -0.752364449304831 -0.489482617608579 1.83525797553525 -0.333994281739029 -0.781148164943576 -1.71252751395731 -0.690118937375299 -1.13111166097187 -1.55431223447522e-15 18 0.0109164020869445
"39" "tf2" "Solyc00g050430.2.1" 30.8646031237042 97.8574258970529 52.7861267057673 47.5017382751926 47.2078544408226 68.9306915851543 -1.05443990050675 -0.0430030893454911 1.91013804870657 -0.323405025324927 -0.162832161575185 -0.326457871954216 1.01208841888121 -0.15008419018331 -0.538916887647572 -1.99919277130531 0.71752007163646 -1.94289029309402e-16 13 0.0322289744080413
"40" "tf2" "Solyc00g052430.2.1" 6.07042361343254 4.77066494934795 20.2036150883488 4.67854746150141 12.8926026330617 5.10889566962277 0.476754240855771 -0.551451938994171 -0.286460543863278 0.450803276701113 -1.49038552171991 1.40074048702048 -0.835008589773253 0.250476238201122 -2.03899850580332 0.948825068839705 -0.0243124453230108 -1.77635683940025e-15 18 0.0605257969751329
"41" "tf2" "Solyc00g052540.1.1" 10.1854083394678 2.08791328173211 0.819893786758192 0.563480573240955 1.63575828099508 0.826689517079903 -0.195773863299694 -0.865316474261107 0.533946938077992 -0.833028773015992 -0.394350872125914 1.75452304462471 0.0241130100060014 -1.09195080885423 -1.80571527493885 -0.324624716636786 -1.03895543014201 -2.22044604925031e-15 16 0.0220228258444295
