"","ITAG","cluster"
"155","Solyc01g010590.2.1",3
"156","Solyc01g010680.1.1",4
"157","Solyc01g010710.2.1",3
"158","Solyc01g010770.2.1",2
"159","Solyc01g010910.1.1",1
"160","Solyc01g010970.2.1",5
"161","Solyc01g011020.1.1",5
"162","Solyc01g011410.1.1",1
"163","Solyc01g014080.1.1",1
"164","Solyc01g014120.2.1",4
"165","Solyc01g014200.1.1",6
"166","Solyc01g014230.2.1",3
"167","Solyc01g014990.1.1",1
"168","Solyc01g015220.1.1",1
"169","Solyc01g016710.1.1",1
"170","Solyc01g016950.1.1",1
"171","Solyc01g017050.1.1",4
"172","Solyc01g017070.1.1",4
"173","Solyc01g017100.1.1",1
"174","Solyc01g017110.1.1",1
"175","Solyc01g017230.1.1",1
"176","Solyc01g017250.1.1",1
"177","Solyc01g017270.1.1",4
"178","Solyc01g017330.1.1",4
"179","Solyc01g017480.1.1",4
"180","Solyc01g017490.1.1",4
"181","Solyc01g017500.1.1",4
"182","Solyc01g017630.1.1",4
"183","Solyc01g017720.1.1",1
"184","Solyc01g020160.1.1",4
"185","Solyc01g020200.1.1",3
"186","Solyc01g020220.1.1",3
"187","Solyc01g020250.1.1",1
"188","Solyc01g020470.1.1",6
"189","Solyc01g022780.1.1",1
"190","Solyc01g028970.1.1",1
"191","Solyc01g034020.2.1",4
"192","Solyc01g034150.2.1",6
"193","Solyc01g034160.1.1",4
"194","Solyc01g044360.2.1",4
"195","Solyc01g047590.1.1",2
"196","Solyc01g049690.2.1",1
"197","Solyc01g049700.2.1",1
"198","Solyc01g049770.2.1",3
"199","Solyc01g049810.2.1",1
"200","Solyc01g056340.2.1",3
"201","Solyc01g056770.1.1",1
"202","Solyc01g056790.2.1",6
"203","Solyc01g057100.1.1",1
"204","Solyc01g057270.2.1",5
"205","Solyc01g057640.1.1",2
"206","Solyc01g058030.1.1",6
"207","Solyc01g058160.2.1",4
"208","Solyc01g058490.1.1",4
"209","Solyc01g058500.2.1",4
"210","Solyc01g058510.1.1",1
"211","Solyc01g058670.2.1",3
"212","Solyc01g058730.2.1",3
"213","Solyc01g060030.2.1",4
"214","Solyc01g060150.2.1",4
"215","Solyc01g060200.1.1",6
"216","Solyc01g060390.1.1",4
"217","Solyc01g065530.2.1",3
"218","Solyc01g065550.2.1",2
"219","Solyc01g065600.1.1",3
"220","Solyc01g065610.1.1",3
"221","Solyc01g065620.1.1",3
"222","Solyc01g065630.1.1",3
"223","Solyc01g065720.2.1",4
