"","gene","tf2ambr","tf2aother","tf2bmbr","tf2bother","tf2cmbr","tf2cother","wtambr","wtaother","wtbmbr","wtbother","wtcmbr","wtcother","sd","average","cv"
"3","Solyc00g005060.1.1",2.81216336687518,1.38777878078145e-17,13.0732797568347,0.522750007617822,0.106275111806298,0.837694177307673,0.349485166682943,0.40269885963656,1.28474998569528,1.38777878078145e-17,0.701601590669296,6.51135173822757,3.88069363502537,2.21683748011277,1.75055396249794
"4","Solyc00g005070.1.1",16.1747739263126,14.2025961928541,158.811325852359,4.47981874606273,11.5423469510571,3.10766739538249,17.1933785503056,4.52355445945654,12.6456090523282,3.46158244964946,4.1808263303536,83.5189303244622,46.7494514628589,27.8202008525486,1.6804138730212
"8","Solyc00g005430.1.1",0.959149446577483,1.56285998280982,2.37873337486835,0.871383438885218,0.749554281183626,0.441609837032043,0.0400780465470403,0.832889738726533,0.409726634426696,1.35759672210865,1.47426399774647,0.94599555471362,0.622598674921828,1.00198675463546,0.621364176763334
"10","Solyc00g005840.2.1",13.5849171355865,44.2405788217503,7.50785743010054,19.32767921803,10.4522998884422,29.7087760263492,19.7457984165943,14.0743282617477,11.4830294123531,83.5132876779486,15.8112380839913,13.8820424492779,21.343175810221,23.6109860685143,0.903951056863419
"11","Solyc00g005880.1.1",1.83994273297518,1.12358110517276,61.6388001374373,2.03581244046073,5.71122618833261,1.78741775359458,1.57084991243616,2.13326380823234,2.96943653635768,2.81142633395616,1.95581835291891,4.96637423829536,17.0906493817189,7.54532912834748,2.26506347052643
"12","Solyc00g006470.1.1",465.981188181834,290.629944370734,91.6482964794338,289.66091581708,250.563212813792,118.95111430773,2455.5110955342,605.862048738755,108.094695996691,360.481814305943,499.447526431771,409.56551384544,638.152766133757,495.53311390195,1.28781053824796
"15","Solyc00g006670.2.1",5.33851128897235,3.90579069096168,1.01005639443944,4.79133006593083,5.39388811188598,0.316425084848019,66.9760012691279,5.99468680390631,0.602260797206309,7.07082362468211,11.065296639258,4.84283793225543,18.2610816778311,9.77565905862287,1.86801540114305
"16","Solyc00g006680.1.1",505.459597856094,401.809263909545,97.0791702840498,320.869359517107,523.314577675243,108.547991492003,4327.53559240059,616.418045415253,177.372349089146,640.290679299194,1644.32790013901,517.536235961705,1175.51274221724,823.380063586579,1.42766723922947
"17","Solyc00g006690.2.1",34.9977598562337,21.0206762384574,13.9671028032968,21.7155147027529,19.8464743447428,6.33409714277555,222.3753693431,32.3165545799161,10.0810541010244,26.3848062925874,53.1128090769454,39.4715294598836,58.3643850701893,41.801978995143,1.39621105204064
"22","Solyc00g006840.2.1",1.54758579592478,1.38777878078145e-17,2.67506037637689,0.478393015733414,1.32762494901454,2.5399193890363,1.75777048392212,1.0506031388442,0.780790975895972,23.9811500714258,0.640879337174677,4.55095239397934,6.5827721652877,3.44422749394401,1.91124778396961
"23","Solyc00g006900.1.1",1.1187984579573,1.06391393666276,3.74807737621228,1.28252062419096,1.50253451334253,0.672638373338023,3.61077593570307,0.834863622216265,2.14925260514524,0.829000492966231,1.59714987280744,1.02958761056371,1.04223788449049,1.61992611842548,0.643386061028213
"32","Solyc00g007130.2.1",1.2174407559848,1.03648291940718,0.442799238355841,0.947685702042683,3.21120235944215,0.21990217593301,1.14640947116983,1.3312245997506,0.602260797206309,1.673809756811,1.29477101749807,1.35738425419681,0.757067513587174,1.20678108731652,0.627344529628516
"33","Solyc00g007140.1.1",6.45402460813104,15.9649196448838,2.98794650123361,4.15435285224845,3.46050660196192,5.49621603244434,1.75621132924953,2.03081910569514,3.60381128483302,3.88897100510215,3.73355160583265,6.76261170141203,3.77731047760548,5.02449518941897,0.751779101223956
"35","Solyc00g007200.2.1",6.33681959463502,4.66360586586027,4.36901379993015,5.74377866346811,22.2264959531971,6.01206502659932,5.07767460236133,7.72080148201334,7.33469690284398,6.53383747056054,10.9127500091586,6.63027675601828,4.85791220208956,7.79681801055384,0.623063433764113
"38","Solyc00g007300.2.1",3.64054420627349,7.09586986255507,3.15585940130268,7.40113350244238,7.69723431008345,13.9031685130956,3.42720076611885,2.78935319912871,1.99827917667001,3.07456199276037,2.24061392224699,2.37412031593709,3.52156872232401,4.89982826405123,0.71871268390381
"39","Solyc00g007590.1.1",1.46924179061106,4.36161769944561,2.62387667370501,3.12104457158775,1.38800911055379,1.37451820272732,0.342659022026172,1.5031893085983,2.15668487441519,0.829000492966231,4.35345454819829,0.988621987506816,1.32115139892785,2.04265985686179,0.646779929849689
"40","Solyc00g008580.1.1",49.5705919074477,14.9889206851983,4.33300335343727,25.7189413083003,28.6730508903516,11.8267657025328,187.517419143197,66.2812093503777,5.1549586777969,33.6832144861399,46.2907018093573,28.2422793381479,49.5047110511667,41.8567547210238,1.18271737455798
"44","Solyc00g009060.2.1",2.50316177121777,0.49250197122656,0.724261265548956,0.260676188433737,0.268777852092725,0.389379695160988,1.20265902845283,0.215111422036109,1.27960146256093,1.38777878078145e-17,1.13649625970464,1.53203955034988,0.723152158416081,0.833722205565427,0.867377831115391
"50","Solyc00g009130.2.1",1.16713658764158,0.529139521994693,1.46730769397779,0.717789757197838,0.305110206384874,0.83881866561518,0.919014837633521,1.09053183569127,1.01917447061382,0.180806419617925,1.04964753718843,6.64669460007531,1.7147090103837,1.32759767780269,1.29158783496949
"52","Solyc00g009760.2.1",250.489546918278,232.844723961854,62.8599825966044,256.767336463726,184.366245111578,97.5985060449764,1329.52410739034,526.095009559825,71.9004840611888,252.653007245477,335.433124276875,234.32392195968,341.877898686552,319.571332965866,1.06980152291403
"53","Solyc00g010530.1.1",19.1384342747404,5.02878361147577,1.66666056705282,8.2148807749672,8.7391604849726,5.8321329610884,85.0556919797166,29.326223230203,2.97933929290279,16.6730974402364,19.7130892891037,12.2592836523209,22.6710840888543,17.885564796565,1.26756321909433
"55","Solyc00g010770.1.1",4.0003561950539,3.12154722675391,1.01005639443944,1.58380858196074,14.7747570744005,3.22542073952367,0.803892612637129,1.85420368225353,2.08614601041914,2.39052548012401,1.82986365874753,3.62817521827291,3.73236111373011,3.35906273954886,1.11113170640908
"56","Solyc00g011150.1.1",158.898967620173,35.5250895917745,14.2899485980518,50.5617752737232,55.5662477737109,25.0597033395116,487.080044089058,121.494713464618,13.5656114951447,91.029903852772,107.0599390024,94.2454420550666,128.871944385558,104.531448846334,1.23285332603594
"57","Solyc00g011160.1.1",91.6899595787717,62.5105166481702,19.3245489167534,54.7752899862371,87.3181688291173,11.4995577995018,1863.84395309991,99.3608269401956,16.0444787540906,117.873166758881,202.393574476834,122.986102080327,517.637811798734,229.135011989065,2.2590952264573
"58","Solyc00g011170.1.1",248.639440426031,182.944980264243,52.9502164154429,137.221154346146,115.279757030841,42.9179707493265,953.59360882753,208.098772129814,67.7822048561906,181.906941926248,260.492055675928,222.546047332559,241.913926040549,222.864429165025,1.08547571699483
"59","Solyc00g011880.2.1",7.07658377541333,3.03992620600828,0.634936013960284,2.7830350295367,18.5982924486869,3.49507188083306,2.22777605043548,3.07780983042798,4.1868063782755,2.46163726307374,6.09133247519013,5.00123411758188,4.65959777301041,4.8895367891186,0.952973251654449
"61","Solyc00g012430.1.1",68.5704432114148,32.2757682609243,9.37624066693677,68.1683290822046,48.3621942209961,14.1395065412381,451.181400175749,125.680698996943,13.7433542254149,70.8956737649903,94.241751842855,53.3971503327719,119.637610970674,87.5027092768699,1.36724464830141
