itag3	dPC1	dPC2	dPC3	dPC4	dPC5	dPC6	overall_distance	m82.PC1	m82.PC2	m82.PC3	m82.PC4	m82.PC5	m82.PC6	penn.PC1	penn.PC2	penn.PC3	penn.PC4	penn.PC5	penn.PC6	m82.inf	m82.veg	m82.leaf	m82.root	m82.seedling	m82.stem	penn.inf	penn.veg	penn.leaf	penn.root	penn.seed	penn.stem	cluster	distance
Solyc01g111900.2.1	-1.927377011	-0.025951552	1.135459171	2.485609797	-1.484502307	1.37E-09	3.658787547	-1.189580686	0.12912402	-1.144173927	0.939650819	-0.238221621	9.34E-10	0.737796325	0.155075572	-2.279633098	-1.545958978	1.246280686	-4.38E-10	-0.412132309	-0.433267299	2.039526552	-0.327592348	-0.433267299	-0.433267299	-0.550481882	-0.550481882	0.27524094	1.926686589	-0.550481882	-0.550481882	8	0.013021605
Solyc10g081340.1.1	1.713787686	0.143565533	-1.865932862	0.190322622	1.116318074	1.50E-11	2.778807925	1.100838383	0.412760135	-1.558255014	-2.233251236	1.064728105	4.43E-10	-0.612949303	0.269194602	0.307677848	-2.423573858	-0.051589969	4.28E-10	-0.698331462	-0.320854996	-0.660583815	1.969168896	0.018873823	-0.308272447	-0.562066223	-0.606439872	-0.806121293	0.61383548	1.767550358	-0.406758451	7	0.002559375
Solyc07g006500.2.1	0.872746721	-0.287187219	-0.895588031	1.733886073	0.329478576	3.00E-11	2.182007861	-0.916212028	0.478246407	-1.570617228	0.600029908	0.17346597	4.83E-10	-1.788958749	0.765433626	-0.675029197	-1.133856165	-0.156012606	4.53E-10	-0.64896406	-0.253774006	1.94689218	0.141416049	-0.567601402	-0.617968762	-0.987808952	-0.573469635	1.11991714	0.165135235	1.228005657	-0.951779446	2	0.001799516
Solyc05g007470.2.1	-1.761376671	-1.087644578	-1.707233401	-0.011886406	-0.767707256	1.75E-11	2.790981925	-0.904436685	0.664722062	-1.271543088	0.982198646	0.067244643	3.66E-11	0.856939986	1.75236664	0.435690313	0.994085052	0.834951899	1.91E-11	-0.672349578	0.035819497	1.955979427	-0.140341964	-0.644163744	-0.534943638	-0.637847441	1.951242572	-0.191558018	-0.133479257	-0.842651492	-0.145706364	9	0.00313251
Solyc06g062920.2.1	-0.064271827	-0.666854393	0.664314538	-2.765960592	-0.76840755	-4.25E-11	3.021775573	-1.688446001	0.402531326	1.035273415	-1.363803688	-0.618563299	-1.18E-11	-1.624174174	1.069385719	0.370958877	1.402156904	0.149844251	3.07E-11	-0.509166025	-0.42029341	-0.075912026	-0.486947872	2.012594435	-0.520275102	-0.411319152	0.822638305	1.495706009	-1.084386857	0.03739265	-0.860030955	4	0.007714953
Solyc08g077900.2.1	1.811146019	0.390666264	-1.154071362	-2.024179106	1.71875753	-4.68E-10	3.43746698	0.614577941	0.54791936	-2.271345287	-1.071737849	1.443948139	-4.32E-10	-1.196568078	0.157253096	-1.117273925	0.952441257	-0.274809391	3.64E-11	-0.658132695	-0.132287979	0.542380714	1.76273732	-0.777191876	-0.737505483	-0.434877514	-0.417404757	2.040429765	-0.35333798	-0.417404757	-0.417404757	7	0.003613845
Solyc01g091690.2.1	-0.192626212	1.376017272	1.543474164	-0.027692735	0.045228007	-1.60E-11	2.077415063	-1.689236658	1.566805694	0.561183612	0.595558586	-0.398854852	4.64E-10	-1.496610446	0.190788422	-0.982290552	0.623251321	-0.444082859	4.80E-10	-1.008926338	0.763544017	1.163779258	-0.994632222	0.763544017	-0.687308733	-0.534643348	-0.570138342	1.998811852	-0.397100246	-0.011092186	-0.485837731	6	0.0006361
Solyc04g079520.2.1	-0.290208414	0.455496946	1.995305761	-1.7538521	-0.174195302	4.09E-10	2.716483879	-1.810144418	0.709974613	1.008650714	-1.151634653	-0.552707258	-9.37E-12	-1.519936004	0.254477667	-0.986655047	0.602217447	-0.378511956	-4.18E-10	-0.659138763	-0.185151338	0.111090803	-0.570266121	1.944829653	-0.641364234	-0.556108105	-0.521031641	1.995704646	-0.376341228	0.00073076	-0.542954431	6	0.005640029
Solyc02g071730.2.1	-0.710047644	-0.408751101	1.45709937	1.23315174	-0.889654434	6.70E-12	2.259763687	-0.14077632	-2.027001814	1.010776847	0.671579238	1.189953249	2.68E-11	0.569271324	-1.618250713	-0.446322523	-0.561572502	2.079607683	2.01E-11	2.040032902	-0.380806142	-0.435207019	-0.435207019	-0.435207019	-0.353605703	1.5361062	-0.5001276	-0.6072978	1.0002552	-0.714468	-0.714468	1	0.000946557
Solyc11g020990.1.1	-0.957526937	-0.817145589	2.295645903	-1.342932247	-0.021997092	4.19E-10	2.942537298	-2.197780396	-0.6135578	1.046832108	-0.630414895	-0.221984854	9.02E-10	-1.240253459	0.203587789	-1.248813795	0.712517352	-0.199987762	4.83E-10	0.408248289	-0.816496581	0.408248289	-0.816496581	1.632993163	-0.816496581	-0.5083962	-0.48493176	2.025763319	-0.20335848	-0.32068068	-0.5083962	1	0.006860452
Solyc08g074680.2.1	0.300147757	-1.605577876	1.167884804	-0.021966599	0.929096037	-1.00E-12	2.21260613	-0.989826193	-1.855140429	0.220517193	1.110726405	0.86999379	4.88E-10	-1.28997395	-0.249562553	-0.947367611	1.132693004	-0.059102247	4.89E-10	1.667153854	-0.72154997	0.814303472	-0.602295468	-0.533633784	-0.623978105	-0.020041144	-0.507357377	2.00358698	-0.461473706	-0.50261079	-0.512103964	3	0.001714496
Solyc11g069880.1.1	2.058964333	-0.076986089	-0.185006379	-2.472805459	1.237434737	-3.31E-11	3.453331711	1.135058907	0.103132547	-1.832663887	-1.978102302	1.298293429	1.21E-12	-0.923905426	0.180118636	-1.647657508	0.494703157	0.060858692	3.43E-11	-0.444696735	-0.444696735	-0.444696735	2.038763493	-0.321549947	-0.383123341	-0.53367605	-0.53367605	1.956812184	0.177892016	-0.53367605	-0.53367605	7	0.004436209
Solyc07g065900.2.1	-0.727652646	1.015813734	1.037648343	0.921194725	0.608195076	-8.93E-10	1.963815412	1.733990156	1.555370368	0.30142299	0.334337226	0.375602369	-8.89E-10	2.461642802	0.539556634	-0.736225353	-0.586857499	-0.232592707	3.71E-12	-0.812500967	1.640829876	-0.818153803	0.280757524	-0.800064728	0.5091321	-0.789060371	0.361761232	-0.918933655	1.053216217	-0.914123533	1.20714011	1	0.004513746
Solyc07g008310.2.1	-0.735922974	0.308833315	-1.590211944	-1.082818587	0.041165475	-4.52E-10	2.08324875	0.568461381	2.097419689	-1.204229672	-0.570267172	0.652463815	8.32E-12	1.304384355	1.788586374	0.385982272	0.512551415	0.61129834	4.60E-10	-1.597838791	1.042068777	0.347356259	0.972597525	-0.347356259	-0.416827511	-0.828657345	1.846464735	-0.585464428	0.130603603	-0.720571604	0.157625038	4	0.002365808
Solyc02g080130.2.1	0.246030253	0.088003829	-0.958130013	-1.834779243	1.285176421	4.34E-10	2.450384048	-1.566794106	0.662618915	-1.241055558	-1.162223442	0.546279868	9.62E-12	-1.812824359	0.574615086	-0.282925545	0.672555801	-0.738896553	-4.24E-10	-0.814125561	-0.544114068	1.210960633	0.621844649	0.781396895	-1.255962548	-0.702043202	-0.256694211	1.821601085	-0.831936658	0.448441693	-0.479368706	4	0.001647582
Solyc01g106930.2.1	-1.028943688	-1.317348282	1.878121586	-0.754308322	0.305331357	-4.66E-10	2.642665432	-2.193508638	-1.144469316	0.697789096	0.179172286	0.128299993	2.04E-11	-1.16456495	0.172878966	-1.18033249	0.933480608	-0.177031364	4.86E-10	0.912870929	-0.912870929	0.912870929	-0.912870929	0.912870929	-0.912870929	-0.428233857	-0.393512193	2.037004292	-0.289347201	-0.462955521	-0.462955521	1	0.005178912
Solyc02g072570.1.1	1.669038296	0.191890502	-0.753561133	-1.89928761	1.448633022	-2.10E-11	3.015990092	0.676711227	0.369494802	-2.298647367	-1.357781852	1.322584634	4.62E-10	-0.992327069	0.1776043	-1.545086234	0.541505758	-0.126048388	4.83E-10	-0.637795306	-0.359484627	0.40586974	1.867000804	-0.637795306	-0.637795306	-0.567230396	-0.567230396	1.985306385	0.05672304	-0.453784317	-0.453784317	7	0.002087452
Solyc12g006050.1.1	1.617901536	-0.155712454	0.245829355	-1.309690636	0.653151127	-2.07E-11	2.200949744	1.414835988	0.065049437	-2.037859574	-1.740231538	0.843229445	4.22E-12	-0.203065548	0.220761891	-2.283688929	-0.430540902	0.190078318	2.49E-11	-0.604842167	-0.563291117	-0.271649787	1.983082645	-0.55701926	0.013719686	-0.817537306	-0.774968608	1.517192063	0.993269625	-0.562125117	-0.355830657	7	0.002437759
Solyc05g008950.2.1	0.349125935	-0.062223542	1.609927718	2.033528881	-2.182617371	4.58E-10	3.408326018	1.333162622	1.361840672	1.124077181	1.043402729	-0.291027175	1.19E-11	0.984036687	1.424064214	-0.485850537	-0.990126152	1.891590196	-4.46E-10	-0.610835621	1.678315346	-0.682000935	-0.575252963	-0.610835621	0.800609794	-0.578121615	1.271867548	-0.809370255	1.271867548	-0.34687297	-0.809370255	1	0.008322907
Solyc07g049370.2.1	2.051191901	-0.554643852	-1.008479503	1.220956813	-0.160150157	2.13E-11	2.654888423	1.038214413	-2.264965722	0.318566219	0.36912865	0.197435215	2.32E-11	-1.012977488	-1.71032187	1.327045722	-0.851828163	0.357585372	1.90E-12	1.603891906	-0.918952892	-0.603597292	-0.002919959	-0.818840003	0.74041824	1.376348961	-0.991489332	-0.694914811	-0.398340289	1.13845496	-0.430059489	2	0.002152151
Solyc12g100270.1.1	-1.646481006	-1.909197778	-1.545533289	0.152997853	-1.062629183	-4.28E-10	3.145981267	-1.207760903	0.10863067	-1.093301188	0.974448204	-0.285589058	-4.12E-10	0.438720103	2.017828448	0.452232101	0.821450351	0.777040125	1.63E-11	-0.397761005	-0.439356928	2.04079993	-0.376963044	-0.418558966	-0.408159986	-0.854412815	1.956880981	-0.027561706	-0.19293193	-0.523672377	-0.358302153	9	0.00462687
Solyc11g066250.1.1	1.625947092	1.233577146	1.335163617	-0.593598743	1.065597971	-2.25E-11	2.726891437	0.467601428	2.131739351	0.334411504	0.316611241	0.948174818	1.03E-11	-1.158345664	0.898162205	-1.000752113	0.910209984	-0.117423153	3.28E-11	-0.97256933	1.910812683	-0.228839842	0.097256933	-0.314654783	-0.492005661	-0.832405679	0.12972556	1.935072943	-0.324313901	-0.335124364	-0.572954559	6	0.004491425
Solyc03g033620.2.1	0.914167873	-0.109778843	0.255336845	1.849190896	-0.231245772	-4.27E-10	2.094261869	-1.053638863	1.343830914	0.627514337	1.713594273	0.030314598	-4.18E-10	-1.967806736	1.453609757	0.372177492	-0.135596623	0.26156037	9.26E-12	-0.516714232	1.254877421	1.199515182	-1.181061102	-0.239903036	-0.516714232	-0.853412253	0.587906219	0.967200553	-0.549976785	1.080988853	-1.232706587	2	0.001604471
Solyc01g094340.2.1	0.285343021	0.039103031	-1.491422019	-1.14593896	0.727074758	-4.52E-10	2.036934739	2.209909994	1.149633838	-0.754381283	-0.658139595	0.245434415	2.61E-12	1.924566973	1.110530807	0.737040736	0.487799365	-0.481640343	4.55E-10	-1.024170778	0.818726391	-0.859408448	1.148251051	-0.822794597	0.739396381	-0.702542508	1.305620087	-0.994077641	-0.112612591	-0.663099519	1.166712171	4	0.000949663
Solyc09g056360.2.1	-1.151416243	-1.15091396	0.049400231	-1.124890784	-0.259648812	-9.08E-10	1.996396622	-1.402186544	0.713490813	1.718310353	-1.016263891	-0.430044186	-4.62E-10	-0.250770301	1.864404773	1.668910122	0.108626893	-0.170395374	4.46E-10	-0.407968107	0.229775141	-0.529889611	-0.754975463	1.927297611	-0.46423957	-0.895951606	1.5903141	-0.593567939	-0.79515705	0.81755584	-0.123193346	9	0.003149434
Solyc05g054350.2.1	-0.039159982	3.725568135	0.324709988	0.547265933	0.014193866	-4.56E-10	3.779752568	0.648960273	1.585958724	1.253404117	0.919271051	0.705028115	1.28E-11	0.688120255	-2.139609411	0.928694129	0.372005118	0.690834249	4.69E-10	-0.375408702	2.011782345	-0.623110396	-0.501981546	-0.398545674	-0.112736027	1.864309493	-0.544952006	-0.889132219	-0.200771792	-0.544952006	0.315498529	5	0.010673116
