"","gene","wtambr","wtaother","wtbmbr","wtbother","wtcmbr","wtcother","wtambr.1","wtaother.1","wtbmbr.1","wtbother.1","wtcmbr.1","wtcother.1","PC1","PC2","PC3","PC4","PC5","PC6","som.unit.classif","som$distances","curated"
"88","Solyc01g005280",1.55653995006652,3.12679682291494,2.68827512676709,4.09029906847917,7.63768533703823,4.50669867209178,-1.1355182648406,-0.38565559521577,-0.595067861098956,0.074456618614389,1.76848043314281,0.273304669398124,0.142684102400696,1.14762957405213,-1.62089231242716,1.35503566961884,-0.565475577407081,-1.42247325030098e-15,4,0.995586908208095,"no"
"89","Solyc01g005290",3.35153763694097,4.65433028250993,5.17377742216594,3.55867607657306,14.8198152555016,3.72437467718991,-0.570199541074631,-0.276452309921228,-0.159329942425923,-0.523494991955236,2.01561087780404,-0.486134092427025,0.854693428974033,2.06884233950537,-1.15421095847275,0.919556744913078,-0.65502477844472,-2.66453525910038e-15,4,0.128892248376373,"no"
"137","Solyc01g008980",2.16736448229588,2.56848811969832,1.88236976477378,1.7410140790054,4.94269437733426,1.84633599147825,-0.292490146397674,0.0358316954011623,-0.525759846397721,-0.641460230949354,1.97913221083624,-0.555253682492653,0.565960400345291,2.06146017189041,-0.812765966070041,0.873796253989032,-1.20511926836202,-2.77555756156289e-15,4,0.516258064331377,"no"
"165","Solyc01g014200",0.654022486187201,0.471168143265954,0.303971797780951,0.716188825774264,2.71257152899984,0.503755385609179,-0.265373719822315,-0.467905659574369,-0.65309458989754,-0.196517442510513,2.01470300165397,-0.431811589849232,0.563351004263147,1.8529990208337,-0.811218556739131,1.57201383622128,-0.872967334689333,-2.99760216648792e-15,4,0.242443984041709,"no"
"192","Solyc01g034150",10.9121148288301,13.3632809721964,13.3547620986882,14.0823341735435,19.6315637387845,15.2808822026265,-1.20819415018237,-0.368146005031421,-0.371065539436996,-0.121716643361579,1.78008018747075,0.289042150541622,0.376718783756082,1.20482769595995,-1.75085485752004,1.11381435876502,-0.483135418183778,-1.51961776495568e-15,4,0.913204516791038,"no"
"215","Solyc01g060200",0.61686172875094,0.994241508010914,1.25601131062075,0.829000492966231,2.63005720601248,0.506447570722807,-0.670796800250016,-0.185759146817824,0.150687631136899,-0.398139667960726,1.91671759203159,-0.812709608139924,0.818394283410807,2.36887206123907,-1.10724857993802,0.611788592297347,-0.250124048269379,-1.99840144432528e-15,4,0.489948213204575,"no"
"243","Solyc01g068510",1.00100813077449,0.192654214734326,0.559583187256336,0.829000492966231,1.7298560240788,0.964017322538063,0.236621190295698,-1.33564316215384,-0.621959054327201,-0.0979370668100162,1.65424475623803,0.164673336757322,1.2194484329151,0.931844366006196,-0.450783349762671,2.20998203376956,-0.41539643663498,-3.44169137633799e-15,4,1.89218296977212,"no"
"250","Solyc01g079080",0.0133593488490135,0.944623831528333,0.525881174792306,0.901109367847381,2.38758577662882,1.01757209647851,-1.20291109667259,-0.0257834054338018,-0.555078343568589,-0.0807861260582189,1.79813503510922,0.066423936623982,-0.00520497719279157,1.42185566832315,-1.62456026990605,0.970069709134007,-0.753228005393065,-1.33226762955019e-15,4,0.91097531860333,"no"
"284","Solyc01g087050",0.988591814826997,7.6495560396211,0.815210422999417,8.28268066274046,25.8223562439421,8.56514679829347,-0.843914893712309,-0.11375105586238,-0.862920673986185,-0.044348985973855,1.87832112676177,-0.0133855172270462,-0.0462503009987081,1.44023593517676,-1.29049283820887,1.34592524737785,-1.04212662422557,-2.19269047363468e-15,4,0.708767023494237,"no"
"288","Solyc01g087340",0.574026741897765,0.628829548150796,0.821150982040118,0.377741227856915,1.64338362150772,0.529792738429885,-0.414228864305404,-0.293774573255739,0.128939947344418,-0.845656268368349,1.93617312455945,-0.511453365974372,1.2730324886926,2.10002040907691,-1.05793007773763,0.598081282576962,-0.565796989952762,-2.77555756156289e-15,4,0.54337678254809,"no"
