"","genotype","gene","Ambr","Aother","Bmbr","Bother","Cmbr","Cother","Ambr.1","Aother.1","Bmbr.1","Bother.1","Cmbr.1","Cother.1","PC1","PC2","PC3","PC4","PC5","PC6","ssom.unit.classif","ssom.distances"
"135","tf2","Solyc01g008530.2.1",24.6293066501482,16.4638633665907,74.8086871880199,22.0346060571642,10.6647687308679,26.3222178957078,-0.195930086400585,-0.549520551736582,1.97700160861058,-0.308289129041695,-0.80064036232932,-0.122621479102395,-1.31965619752196,-0.0635772733455969,-1.50537862983938,-1.13821573885618,0.889417260585413,2.77555756156289e-17,12,0.0333604886960185
"136","tf2","Solyc01g008660.2.1",6.25172391643619,5.02053969697736,54.6312970973436,8.77384163030888,11.7035173578618,3.59326183407426,-0.44545978733948,-0.508182197417417,2.01922695936218,-0.316971053473248,-0.167719365972152,-0.580894555159882,-1.54386887945856,-0.390988982062903,-0.699823714865298,-1.44240635856348,1.04129926978675,-1.66533453693773e-15,12,0.0238264514210232
"153","tf2","Solyc01g009900.2.1",1.34914323829949,6.67693620444551,7.22972344195968,3.49418064563664,4.84959915489841,2.67320669089914,-1.31596659042495,0.998223495523792,1.23833319063074,-0.384244142951608,0.204497967782851,-0.740843920560831,-0.729839702554558,0.592667514813873,0.698589839274761,-2.15822553537071,0.283782728341733,-3.71924713249427e-15,12,0.0803632786472468
"161","tf2","Solyc01g010510.2.1",13.3209854546495,3.92742999813093,71.3863836592213,2.37807588327438,40.4600678096053,4.51782744746503,-0.335880260391996,-0.673536681050822,1.7513118164142,-0.729229050907696,0.63964870202877,-0.652314526092455,-1.87560246988679,-1.07453154200845,0.0015625809089212,-1.30531964499713,0.578910744437963,-2.99760216648792e-15,12,0.0621040584639871
"168","tf2","Solyc01g011020.1.1",1.64733901315071,1.06391393666276,7.46369221516796,1.17714693561763,2.16001312247406,0.801719096153533,-0.291388432187197,-0.521652136489565,2.00418487756768,-0.476961822618298,-0.0890484158420982,-0.625134070430521,-1.74274287595767,-0.429025182826099,-0.640800436114089,-1.34295055354445,0.921528361928168,-1.77635683940025e-15,12,0.0309860486358452
"201","tf2","Solyc01g034150.2.1",9.94429452605512,8.31444457138586,44.8620957228472,13.1329739582694,10.0443836867808,8.62156743914642,-0.410035210400361,-0.523774815532404,2.02671481608184,-0.187512187054744,-0.403050456014644,-0.502342147079684,-1.41603445393378,-0.248612835165362,-0.940595308605117,-1.36667304192666,1.14638793374227,-1.0547118733939e-15,12,0.0634161816017185
"225","tf2","Solyc01g060130.2.1",7.69690365753989,2.89267256560791,18.8789008240335,6.28455155706204,10.3743187967223,8.5373850551472,-0.261657473358732,-1.15074172932353,1.80771376227316,-0.523031248346874,0.233832356621865,-0.10611566786589,-1.53142908479792,-1.33142779096647,-0.839678039236174,-1.06327657610983,0.675011477638125,-1.04083408558608e-15,12,0.0791187738267157
"241","tf2","Solyc01g066820.2.1",2.17439550786046,2.2871329588764,15.3001912171702,3.49738464622494,5.50504817642694,8.23549507894749,-0.794470092976394,-0.772034780498216,1.81762842095452,-0.531188685981958,-0.131653675697257,0.411718814199302,-0.920502776339436,-0.969281405076712,-1.22157782374463,-1.56638465747402,0.329621364303003,2.77555756156289e-17,12,0.0377148330983285
"247","tf2","Solyc01g068030.2.1",1.49177721883461,2.52768749236741,8.97049716225737,2.77567174875387,3.79170735652561,5.47172325505908,-0.989153943888856,-0.606774599962313,1.7714210773664,-0.515237659279425,-0.140194531479551,0.479939657243745,-0.737519075743736,-0.865887702912052,-1.15869142036395,-1.73820541440072,0.240392462641471,-2.77555756156289e-17,12,0.0852005716626325
"283","tf2","Solyc01g081200.2.1",8.72643138466008,3.49180473195565,17.3789179840218,10.14238927914,10.6981005661971,9.82579725283814,-0.296150286319736,-1.47282203724073,1.64880916010637,0.0221374857541904,0.1470537054831,-0.0490280277832023,-1.1015683316945,-1.53762866719478,-0.958429885199065,-0.799028310576577,1.14362630917171,2.08166817117217e-16,12,0.0534836228812239
