GeneID	GOID
Solyc00g030000.1.1	GO:0016759
Solyc00g030210.1.1	GO:0009273
Solyc00g030210.1.1	GO:0008658
Solyc00g030210.1.1	GO:0008168
Solyc00g030210.1.1	GO:0055114
Solyc00g030510.2.1	GO:0005975
Solyc00g031030.1.1	GO:0016491
Solyc00g031030.1.1	GO:0055114
Solyc00g031040.1.1	GO:0009168
Solyc00g031050.1.1	GO:0016020
Solyc00g031050.1.1	GO:0055085
Solyc00g031360.1.1	GO:0046416
Solyc00g031370.1.1	GO:0006355
Solyc00g031700.1.1	GO:0055114
Solyc00g031720.1.1	GO:0030001
Solyc00g031720.1.1	GO:0016020
Solyc00g031730.1.1	GO:0016020
Solyc00g031730.1.1	GO:0008152
Solyc00g032030.1.1	GO:0004842
Solyc00g033460.2.1	GO:0008168
Solyc00g033990.1.1	GO:0008152
Solyc00g034000.1.1	GO:0022857
Solyc00g034810.1.1	GO:0005509
Solyc00g036320.1.1	GO:0005622
Solyc00g036540.1.1	GO:0005840
Solyc00g036760.1.1	GO:0006508
Solyc00g039290.1.1	GO:0005622
Solyc00g040290.1.1	GO:0016740
Solyc00g040390.1.1	GO:0016740
Solyc00g041090.1.1	GO:0006508
Solyc00g041190.1.1	GO:0006633
Solyc00g041190.1.1	GO:0031177
Solyc00g041190.1.1	GO:0048037
Solyc00g041190.1.1	GO:0000036
Solyc00g041220.1.1	GO:0016787
Solyc00g042120.1.1	GO:0016021
Solyc00g042130.1.1	GO:0045261
Solyc00g042130.1.1	GO:0005524
Solyc00g042130.1.1	GO:0033178
Solyc00g042130.1.1	GO:0016469
Solyc00g042140.1.1	GO:0045261
Solyc00g042140.1.1	GO:0005524
Solyc00g042140.1.1	GO:0016469
Solyc00g042850.1.1	GO:0006629
Solyc00g044750.1.1	GO:0003676
Solyc00g044750.1.1	GO:0000166
Solyc00g047200.1.1	GO:0016020
Solyc00g048510.2.1	GO:0030246
Solyc00g049210.1.1	GO:0016020
Solyc00g049920.1.1	GO:0008152
Solyc00g049920.1.1	GO:0055114
Solyc00g050020.1.1	GO:0004540
Solyc00g050030.1.1	GO:0008152
Solyc00g050030.1.1	GO:0005737
