Gene,Related Hormone,Function category,PMID
AT4G37870,ethylene,Hormone response,19253305;
AT5G04430,ethylene,Hormone response,19253305;
AT5G19770,ethylene,Hormone response,19253305;
AT5G19780,ethylene,Hormone response,19253305;
AT5G43830,ethylene,Hormone response,19253305;
AT5G45510,ethylene,Hormone response,19253305;
AT5G45550,ethylene,Hormone response,19253305;
AT5G52040,ethylene,Hormone response,19253305;
AT5G52300,ethylene,Hormone response,19253305;
AT5G52310,ethylene,Hormone response,19253305;
AT5G56010,ethylene,Hormone response,19253305;
AT5G56330,ethylene,Hormone response,19253305;
AT5G58350,ethylene,Hormone response,19253305;
AT5G58950,ethylene,Hormone response,19253305;
AT5G61790,ethylene,Hormone response,19253305;
AT5G64813,ethylene,Hormone response,19253305;
ATMG01090,ethylene,Hormone response,19253305;
SAX1,ethylene,Hormone response,10377995;10377996;
AT1G02120,ethylene,Hormone signal transduction,17720753;
AT1G04370,ethylene,Hormone signal transduction,20505369;
AT1G18570,ethylene,Hormone signal transduction,19095898;
AT1G22190,ethylene,Hormone signal transduction,19843165;
AT1G25490,ethylene,Hormone signal transduction,11161061;16798939;
AT1G26830,ethylene,Hormone signal transduction,19132085;
AT1G54490,ethylene,Hormone signal transduction,7768447;16920797;
AT1G56160,ethylene,Hormone signal transduction,18218967;
AT1G62740,ethylene,Hormone signal transduction,19253305;
AT1G69670,ethylene,Hormone signal transduction,19132085;
AT1G73500,ethylene,Hormone signal transduction,18273012;
AT1G74710,ethylene,Hormone signal transduction,19717619;
AT1G75830,ethylene,Hormone signal transduction,19625635;
AT1G78080,ethylene,Hormone signal transduction,19843165;
AT2G04550,ethylene,Hormone signal transduction,19529829;
AT2G25490,ethylene,Hormone signal transduction,15090654;14675532;7768447;
AT2G26070,ethylene,Hormone signal transduction,16682642;
AT2G27050,ethylene,Hormone signal transduction,9215635;
AT2G29090,ethylene,Hormone signal transduction,19513806;
AT2G39760,ethylene,Hormone signal transduction,19843165;
AT2G42680,ethylene,Hormone signal transduction,19783066;
AT2G44950,ethylene,Hormone signal transduction,19286969;
AT3G03740,ethylene,Hormone signal transduction,19843165;
AT3G14440,ethylene,Hormone signal transduction,19513806;
AT3G15356,ethylene,Hormone signal transduction,19214436;
AT3G18910,ethylene,Hormone signal transduction,19196655;
AT3G18980,ethylene,Hormone signal transduction,19196655;
AT3G20770,ethylene,Hormone signal transduction,17307926;9215635;10381874;7768447;
AT3G23240,ethylene,Hormone signal transduction,9851977;
AT3G43700,ethylene,Hormone signal transduction,19843165;
AT3G54720,ethylene,Hormone signal transduction,10409511;
AT3G58680,ethylene,Hormone signal transduction,19783066;
AT4G13620,ethylene,Hormone signal transduction,19843165;
AT4G25470,ethylene,Hormone signal transduction,20037472;
AT4G26080,ethylene,Hormone signal transduction,19513806;
AT4G27440,ethylene,Hormone signal transduction,19948955;
AT4G30480,ethylene,Hormone signal transduction,19567478;
AT4G38130,ethylene,Hormone signal transduction,15749761;
AT4G39780,ethylene,Hormone signal transduction,19843165;
AT5G03280,ethylene,Hormone signal transduction,10381874;7768447;14675533;12953109;15567852;
AT5G03730,ethylene,Hormone signal transduction,8431946;15980261;7768447;
AT5G05170,ethylene,Hormone signal transduction,11340179;12119374;
AT5G19000,ethylene,Hormone signal transduction,19843165;
AT5G21010,ethylene,Hormone signal transduction,19843165;
AT5G25350,ethylene,Hormone signal transduction,15090654;14675532;
AT5G40990,ethylene,Hormone signal transduction,19077166;
AT5G44210,ethylene,Hormone signal transduction,20505369;
AT5G44790,ethylene,Hormone signal transduction,10319818;
AT5G45710,ethylene,Hormone signal transduction,19704429;
AT5G54190,ethylene,Hormone signal transduction,19948955;
AT5G61600,ethylene,Hormone signal transduction,19416906;
EER2,ethylene,Hormone signal transduction,16043454;
EIN6,ethylene,Hormone signal transduction,7768447;
AT1G02400,gibberellin,Hormone biosynthesis,12472697;
AT1G15550,gibberellin,Hormone biosynthesis,16815952;
AT1G44090,gibberellin,Hormone biosynthesis,7604047;
AT1G50960,gibberellin,Hormone biosynthesis,12509528;
AT1G60980,gibberellin,Hormone biosynthesis,7604047;
AT1G65620,Gibberellin,Hormone biosynthesis,19891706;
AT1G78440,gibberellin,Hormone biosynthesis,10200325;
AT1G79460,gibberellin,Hormone biosynthesis,0012231829;
AT1G80330,gibberellin,Hormone biosynthesis,7756830;
AT1G80340,gibberellin,Hormone biosynthesis,9836749;
AT4G02780,gibberellin,Hormone biosynthesis,14871311;Ê15155881;
AT4G08150,Gibberellin,Hormone biosynthesis,19891706;
AT4G21200,gibberellin,Hormone biosynthesis,7604047 ;Ê7630935;
AT4G21690,gibberellin,Hormone biosynthesis,9847128;
AT4G25420,gibberellin,Hormone biosynthesis,15923331;
AT5G25900,gibberellin,Hormone biosynthesis,9952446;
AT5G51810,gibberellin,Hormone biosynthesis,7604047;
AT5G57390,Gibberellin,Hormone biosynthesis,19648230;
AT4G26420,gibberellin,Hormone metabolism,17220201;
AT5G56300,gibberellin,Hormone metabolism,10375393;Ê17220201;
AT2G37630,Gibberellin,Hormone receptor,19891706;
AT3G05120,gibberellin,Hormone receptor,16709201;
AT3G63010,gibberellin,Hormone receptor,16709201;
AT5G27320,gibberellin,Hormone receptor,16709201;
AT1G01060,gibberellin,Hormone signal transduction,16463103;
AT1G14920,gibberellin,Hormone signal transduction,0012271067;
AT1G22770,gibberellin,Hormone signal transduction,"Together with CONSTANTS (CO) and FLOWERING LOCUS T (FT), GIGANTEA promotes flowering under long days in a circadian clock-controlled flowering pathway. GI acts earlier than CO and FT in the pathway by increasing CO and FT mRNA abundance. Located in the nu;"
AT1G66350,gibberellin,Hormone signal transduction,12183174;
AT2G01570,gibberellin,Hormone signal transduction,9215910;
AT2G04240,gibberellin,Hormone signal transduction,17933900;
AT2G06050,gibberellin,Hormone signal transduction,19325888;
AT2G20180,Gibberellin,Hormone signal transduction,19244139;
AT2G44910,Gibberellin,Hormone signal transduction,19392702;
AT2G46830,Gibberellin,Hormone signal transduction,19542296;
AT3G01530,Gibberellin,Hormone signal transduction,19325888;
AT3G03450,gibberellin,Hormone signal transduction,11118137;
AT3G11540,gibberellin,Hormone signal transduction,8400871;
AT3G12490,Gibberellin,Hormone signal transduction,19690865;
AT3G27810,Gibberellin,Hormone signal transduction,19325888;
AT3G61850,Gibberellin,Hormone signal transduction,19874540;
AT4G24210,gibberellin,Hormone signal transduction,9611170;
AT5G01550,Gibberellin,Hormone signal transduction,18987212;
AT5G16260,Gibberellin,Hormone signal transduction,19376936;
AT5G17490,gibberellin,Hormone signal transduction,11118137;
AT5G17690,Gibberellin,Hormone signal transduction,19228333;
AT5G40350,Gibberellin,Hormone signal transduction,19325888;
AT5G48170,gibberellin,Hormone signal transduction,15161962;15308775;
AT5G40350,jasmonic acid,-,16805732;
AT1G19640,jasmonic acid,Hormone biosynthesis,11287667;
AT2G06050,jasmonic acid,Hormone biosynthesis,10973494;10899973;
AT2G29980,jasmonic acid,Hormone biosynthesis,12239389;8102138;
AT2G43710,jasmonic acid,Hormone biosynthesis,11481500;11309146;
AT2G44810,jasmonic acid,Hormone biosynthesis,11595796;
AT3G11170,jasmonic acid,Hormone biosynthesis,8226956;
AT3G15730,jasmonic acid,Hormone biosynthesis,11090221;
AT3G45140,jasmonic acid,Hormone biosynthesis,7567995;
AT4G03560,jasmonic acid,Hormone biosynthesis,17253984;
AT4G29010,jasmonic acid,Hormone biosynthesis,10521521;
AT5G05580,jasmonic acid,Hormone biosynthesis,7846164;
AT5G05730,Jasmonic acid,Hormone biosynthesis,19435934;
AT5G42650,jasmonic acid,Hormone biosynthesis,12100478;
AT2G39940,jasmonic acid,Hormone receptor,9582125;12244256;
AT1G05180,jasmonic acid,Hormone signal transduction,12376653;
AT1G19180,jasmonic acid,Hormone signal transduction,17637677;
AT1G32640,jasmonic acid,Hormone signal transduction,15208388 ;12509522;17616737;
AT1G53940,jasmonic acid,Hormone signal transduction,19146828;
AT1G63650,Jasmonic acid,Hormone signal transduction,19234066;
AT2G43790,jasmonic acid,Hormone signal transduction,18273012;17369371;17519351;
AT2G44050,jasmonic acid,Hormone signal transduction,15075400;
AT2G46370,jasmonic acid,Hormone signal transduction,11607311;12084835;
AT3G01530,Jasmonic acid,Hormone signal transduction,19325888;
AT3G06490,Jasmonic acid,Hormone signal transduction,MYB108 Acts Together with MYB24 to Regulate Jasmonate-Mediated Stamen Maturation;
AT3G15356,Jasmonic acid,Hormone signal transduction,19214436;
AT3G17860,jasmonic acid,Hormone signal transduction,17637675;
AT3G23240,jasmonic acid,Hormone signal transduction,12509529;
AT3G27670,Jasmonic acid,Hormone signal transduction,19625635;
AT3G27810,Jasmonic acid,Hormone signal transduction,19325888;
AT3G27920,Jasmonic acid,Hormone signal transduction,19234066;
AT3G56400,jasmonic acid,Hormone signal transduction,14742872;
AT4G01370,jasmonic acid,Hormone signal transduction,11163186;
AT4G02570,jasmonic acid,Hormone signal transduction,10654597;15860010;
AT4G25470,Jasmonic acid,Hormone signal transduction,20037472;
AT4G28910,Jasmonic acid,Hormone signal transduction,20360743;
AT4G38130,Jasmonic acid,Hormone signal transduction,15749761;
AT5G05170,jasmonic acid,Hormone signal transduction,11340179;12119374;
AT5G11270,jasmonic acid,Hormone signal transduction,15923348;
AT5G24520,Jasmonic acid,Hormone signal transduction,19234066;
AT5G40330,Jasmonic acid,Hormone signal transduction,19234066;
AT5G40350,Jasmonic acid,Hormone signal transduction,19325888;
AT5G40440,jasmonic acid,Hormone signal transduction,17369371;17933903;
AT5G57390,Jasmonic acid,Hormone signal transduction,19648230;
AT5G67300,Jasmonic acid,Hormone signal transduction,20016937;
CEX1,jasmonic acid,Hormone signal transduction,11311233;
EDS8(ENHANCED DISEASE SUSCEPTIBILITY 8),jasmonic acid,Hormone signal transduction,8725243;12060223;
HRL1(HYPERSENSITIVE RESPONSE-LIKE LESION 1),jasmonic acid,Hormone signal transduction,12028576;
JOE1(JASMONATE OVEREXPRESSING1),jasmonic acid,Hormone signal transduction,11874572;
JOE2(JASMONATE OVEREXPRESSING2),jasmonic acid,Hormone signal transduction,11874572;
JUE1(JASMONATE UNDEREXPRESSING 1),jasmonic acid,Hormone signal transduction,11874572;
JUE2(JASMONATE UNDEREXPRESSING 2),jasmonic acid,Hormone signal transduction,11874572;
JUE3(JASMONATE UNDEREXPRESSING 3),jasmonic acid,Hormone signal transduction,11874572;
OJI1,jasmonic acid,Hormone signal transduction,14701925;
PAD1,jasmonic acid,Hormone signal transduction,8090752;
AT2G31660,jasmonic acid,Hormone transportion,17993626;
AT1G74710,salicylic acid,Hormone biosynthesis,11734859;Ê10449575;11069695;
AT2G43820,salicylic acid,Hormone metabolism,17085977;18248508;11641410;
AT2G43840,salicylic acid,Hormone metabolism,18248508;11641410;
AT3G11480,salicylic acid,Hormone metabolism,14617060;
AT1G07530,salicylic acid,Hormone signal transduction,18984675;
AT1G07745,salicylic acid,Hormone signal transduction,17360504;
AT1G14410,salicylic acid,Hormone signal transduction,14960277;
AT1G22070,salicylic acid,Hormone signal transduction,17369431;
AT1G37130,salicylic acid,Hormone signal transduction,20170098;
AT1G49040,salicylic acid,Hormone signal transduction,20472560;
AT1G62830,salicylic acid,Hormone signal transduction,20456049;
AT1G64280,salicylic acid,Hormone signal transduction,9019406;8725243;12244227;11607555;909085;
AT1G71860,salicylic acid,Hormone signal transduction,19789277;
AT1G77470,salicylic acid,Hormone signal transduction,19482917;
AT1G77760,salicylic acid,Hormone signal transduction,20170098;
AT2G01650,salicylic acid,Hormone signal transduction,19176722;
AT2G02740,salicylic acid,Hormone signal transduction,19669906;
AT2G03760,salicylic acid,Hormone signal transduction,20374532;
AT2G04450,salicylic acid,Hormone signal transduction,20181750;
AT2G37940,salicylic acid,Hormone signal transduction,19001565;
AT2G40750,salicylic acid,Hormone signal transduction,17096590;
AT2G43790,salicylic acid,Hormone signal transduction,18273012;17519351;17369371;
AT2G44950,salicylic acid,Hormone signal transduction,19286969;
AT3G01080,salicylic acid,Hormone signal transduction,17096590;
AT3G04670,salicylic acid,Hormone signal transduction,20396965;
AT3G12250,salicylic acid,Hormone signal transduction,14576289;
AT3G27310,salicylic acid,Hormone signal transduction,19176722;
AT3G27670,salicylic acid,Hormone signal transduction,19625635;
AT3G44730,salicylic acid,Hormone signal transduction,19669906;
AT3G45640,salicylic acid,Hormone signal transduction,12434021;
AT3G48090,salicylic acid,Hormone signal transduction,10077677;8953768;9707643;
AT3G49530,salicylic acid,Hormone signal transduction,19947982;
AT3G50280,salicylic acid,Hormone signal transduction,19618250;
AT3G52430,salicylic acid,Hormone signal transduction,10557364;9136026;8725243;9634589;
AT3G55270,salicylic acid,Hormone signal transduction,19789277;
AT3G56400,salicylic acid,Hormone signal transduction,17096590;16623907;
AT4G08920,salicylic acid,Hormone signal transduction,20053798;
AT4G12470,salicylic acid,Hormone signal transduction,19342588;
AT4G14400,salicylic acid,Hormone signal transduction,19144005;
AT4G18470,salicylic acid,Hormone signal transduction,10458608;
AT4G23810,salicylic acid,Hormone signal transduction,17096590;
AT4G24230,salicylic acid,Hormone signal transduction,20442372;
AT4G25470,salicylic acid,Hormone signal transduction,20037472;
AT4G25480,salicylic acid,Hormone signal transduction,19618250;
AT4G25490,salicylic acid,Hormone signal transduction,19618250;
AT4G26840,salicylic acid,Hormone signal transduction,20525853;
AT4G31800,salicylic acid,Hormone signal transduction,17096590;
AT4G38830,salicylic acid,Hormone signal transduction,20500828;
AT5G01600,salicylic acid,Hormone signal transduction,19448037;
AT5G01820,salicylic acid,Hormone signal transduction,19122675;
AT5G04870,salicylic acid,Hormone signal transduction,20497373;
AT5G06950,salicylic acid,Hormone signal transduction,11532169;14576289;
AT5G06960,salicylic acid,Hormone signal transduction,11532169;14576289;
AT5G10030,salicylic acid,Hormone signal transduction,17369431;
AT5G13320,salicylic acid,Hormone signal transduction,19189963;
AT5G14930,salicylic acid,Hormone signal transduction,16040633;11971163;
AT5G22570,salicylic acid,Hormone signal transduction,19304931;
AT5G26780,salicylic acid,Hormone signal transduction,19279211;
AT5G26920,salicylic acid,Hormone signal transduction,19214217;
AT5G40990,salicylic acid,Hormone signal transduction,19077166;
AT5G43940,salicylic acid,Hormone signal transduction,19806166;
AT5G46350,salicylic acid,Hormone signal transduction,20367464;
AT5G55160,salicylic acid,Hormone signal transduction,20525853;
AT5G55170,salicylic acid,Hormone signal transduction,20525853;
AT5G57685,salicylic acid,Hormone signal transduction,20042021;
AT5G60410,salicylic acid,Hormone signal transduction,19959255;
AT5G62470,salicylic acid,Hormone signal transduction,20149112;
AT5G65210,salicylic acid,Hormone signal transduction,17369431;
CPR22,salicylic acid,Hormone signal transduction,20164209;
RPM8.1,salicylic acid,Hormone signal transduction,19749153;
RPM8.2,salicylic acid,Hormone signal transduction,19749153;
AT4G39030,salicylic acid,Hormone transportion,11826312;9090877;10449575;9611172;8725243;
,,,
All hormone-related genes supported by evidence from Gene Ontology annotation.,,,
Gene,Related Hormone,PMID,
ADE1,abscisic acid,10205894;,
AT1G01060,abscisic acid,16463103;,
AT1G01560,abscisic acid,16258012;,
AT1G04580,abscisic acid,10972874;,
AT1G05530,abscisic acid,,
AT1G05560,abscisic acid,,
AT1G05630,abscisic acid,15574849;,
AT1G06180,abscisic acid,16463103;,
AT1G08810,abscisic acid,16005291;,
AT1G09700,abscisic acid,11148283;,
AT1G12420,abscisic acid,12481063;,
AT1G12480,abscisic acid,18305484;,
AT1G14920,abscisic acid,16400150;,
AT1G15080,abscisic acid,15960620;,
AT1G16540,abscisic acid,8893542;,
AT1G17950,abscisic acid,16463103;,
AT1G18075,abscisic acid,17217461;,
AT1G18570,abscisic acid,16463103;,
AT1G18890,abscisic acid,8943201;,
AT1G20440,abscisic acid,10205894;,
AT1G20450,abscisic acid,11292073;,
AT1G20630,abscisic acid,18248592;,
AT1G22640,abscisic acid,16463103;,
AT1G24190,abscisic acid,15994908;,
AT1G25490,abscisic acid,0012417706;,
AT1G27730,abscisic acid,15333755;,
AT1G29395,abscisic acid,12746512;,
AT1G30100,abscisic acid,12834401;,
AT1G31930,abscisic acid,17999646;,
AT1G32640,abscisic acid,9368419;,
AT1G34670,abscisic acid,16463103;,
AT1G35670,abscisic acid,17921317;,
AT1G35720,abscisic acid,15161963;,
AT1G44170,abscisic acid,15830124;,
AT1G45249,abscisic acid,16463099;,
AT1G48000,abscisic acid,16258012;,
AT1G49720,abscisic acid,12045268;,
AT1G49950,abscisic acid,16463103;,
AT1G52340,abscisic acid,9159947;,
AT1G52920,abscisic acid,17347412;,
AT1G54100,abscisic acid,15830124;,
AT1G55020,abscisic acid,7506426;,
AT1G55870,abscisic acid,16359390;,
AT1G58220,abscisic acid,16463103;,
AT1G63840,abscisic acid,16258012;,
AT1G64060,abscisic acid,12773379;,
AT1G66340,abscisic acid,15773852;,
AT1G66350,abscisic acid,16400150;,
AT1G67080,abscisic acid,17470058;,
AT1G69260,abscisic acid,12569131;,
AT1G69270,abscisic acid,15772289;,
AT1G70000,abscisic acid,16463103;,
AT1G71030,abscisic acid,16463103;,
AT1G71930,abscisic acid,16103214;,
AT1G73687,abscisic acid,17217461;,
AT1G74660,abscisic acid,16412086;,
AT1G74740,abscisic acid,8943201;,
AT1G74840,abscisic acid,16463103;,
AT1G75750,abscisic acid,10849358;,
AT1G76180,abscisic acid,11292073;,
AT1G76930,abscisic acid,10333585;,
AT1G78390,abscisic acid,12834401;,
AT1G80080,abscisic acid,18434605;,
AT2G01570,abscisic acid,16400150;,
AT2G04550,abscisic acid,14630970;,
AT2G05520,abscisic acid,2152168;,
AT2G13540,abscisic acid,11525733;,
AT2G15970,abscisic acid,12746512;,
AT2G16720,abscisic acid,16463103;,
AT2G17290,abscisic acid,17032064;,
AT2G17800,abscisic acid,11459830;,
AT2G18790,abscisic acid,17010113;,
AT2G18960,abscisic acid,0012047634;,
AT2G19450,abscisic acid,0012114588;,
AT2G22430,abscisic acid,12065416;,
AT2G22570,abscisic acid,17335512;,
AT2G23250,abscisic acid,,
AT2G23260,abscisic acid,,
AT2G23430,abscisic acid,9753775;,
AT2G23460,abscisic acid,17999646;,
AT2G25170,abscisic acid,17892443;,
AT2G25930,abscisic acid,10571046;,
AT2G26300,abscisic acid,11408655;,
AT2G26980,abscisic acid,12566581;,
AT2G27150,abscisic acid,11050171;,
AT2G28350,abscisic acid,17672844;,
AT2G29090,abscisic acid,15044947;,
AT2G30470,abscisic acid,15894743;,
AT2G31750,abscisic acid,,
AT2G32020,abscisic acid,16258012;,
AT2G32273,abscisic acid,17845858;,
AT2G32460,abscisic acid,17217461;,
AT2G33380,abscisic acid,16258012;,
AT2G36270,abscisic acid,11287670;,
AT2G36890,abscisic acid,16463103;,
AT2G38750,abscisic acid,15161963;,
AT2G39175,abscisic acid,17672844;,
AT2G39550,abscisic acid,16183844;,
AT2G39800,abscisic acid,7773306;,
AT2G40170,abscisic acid,8492809;,
AT2G40220,abscisic acid,10950871;,
AT2G41070,abscisic acid,0012084834;,
AT2G43350,abscisic acid,16998070;,
AT2G45640,abscisic acid,16429262;,
AT2G46270,abscisic acid,8672884;,
AT2G46680,abscisic acid,8771791;,
AT2G46830,abscisic acid,16463103;,
AT2G47190,abscisic acid,12509522;,
AT3G02140,abscisic acid,17195036;,
AT3G02850,abscisic acid,9741629;,
AT3G03450,abscisic acid,16400150;,
AT3G05880,abscisic acid,15860016;,
AT3G06490,abscisic acid,16463103;,
AT3G07370,abscisic acid,16640601;,
AT3G08550,abscisic acid,14742875;,
AT3G09600,abscisic acid,16463103;,
AT3G11050,abscisic acid,11672431;,
AT3G11410,abscisic acid,16339800;,
AT3G12560,abscisic acid,16463103;,
AT3G14440,abscisic acid,12834401;,
AT3G15210,abscisic acid,16021341;,
AT3G15730,abscisic acid,16614222;,
AT3G17510,abscisic acid,17092313;,
AT3G19270,abscisic acid,15064374;,
AT3G19290,abscisic acid,11884679;,
AT3G19580,abscisic acid,10806347;,
AT3G20310,abscisic acid,15994908;,
AT3G21780,abscisic acid,16083885;,
AT3G22060,abscisic acid,16258012;,
AT3G24220,abscisic acid,12834401;,
AT3G24500,abscisic acid,14988493;,
AT3G24650,abscisic acid,8055176;,
AT3G26090,abscisic acid,16714312;,
AT3G26790,abscisic acid,15363412;,
AT3G26830,abscisic acid,16258012;,
AT3G28210,abscisic acid,16258012;,
AT3G28580,abscisic acid,16258012;,
AT3G28910,abscisic acid,16463103;,
AT3G30210,abscisic acid,16463103;,
AT3G43600,abscisic acid,10972874;,
AT3G45640,abscisic acid,12434021;,
AT3G46130,abscisic acid,16463103;,
AT3G46590,abscisic acid,16463103;,
AT3G47600,abscisic acid,16463103;,
AT3G47620,abscisic acid,17953649;,
AT3G48040,abscisic acid,0012417701;,
AT3G50060,abscisic acid,16463103;,
AT3G50500,abscisic acid,17307925;,
AT3G50970,abscisic acid,11292073;,
AT3G51810,abscisic acid,8492809;,
AT3G53110,abscisic acid,15598798;,
AT3G55530,abscisic acid,17573536;,
AT3G55610,abscisic acid,9351242;,
AT3G55730,abscisic acid,16463103;,
AT3G56860,abscisic acid,12181571;,
AT3G57530,abscisic acid,16299177;,
AT3G59220,abscisic acid,12837948;,
AT3G59380,abscisic acid,15128936;,
AT3G61890,abscisic acid,9617808;,
AT3G63210,abscisic acid,15159630;,
AT4G01060,abscisic acid,16463103;,
AT4G01280,abscisic acid,16463103;,
AT4G04020,abscisic acid,16571665;,
AT4G05100,abscisic acid,16258012;,
AT4G09460,abscisic acid,16463103;,
AT4G09570,abscisic acid,17921317;,
AT4G15910,abscisic acid,7823904;,
AT4G17260,abscisic acid,16258012;,
AT4G17615,abscisic acid,0012194854;,
AT4G17788,abscisic acid,17672844;,
AT4G18350,abscisic acid,12834401;,
AT4G18780,abscisic acid,17351116;,
AT4G19230,abscisic acid,16543410;,
AT4G21410,abscisic acid,16258012;,
AT4G21440,abscisic acid,16463103;,
AT4G21670,abscisic acid,12149434;,
AT4G22200,abscisic acid,10852932;,
AT4G23260,abscisic acid,16258012;,
AT4G23600,abscisic acid,9648747;,
AT4G23650,abscisic acid,17032064;,
AT4G24960,abscisic acid,12081371;,
AT4G25000,abscisic acid,17324226;,
AT4G26080,abscisic acid,16614222;,
AT4G27410,abscisic acid,15341629;,
AT4G28110,abscisic acid,16463103;,
AT4G33950,abscisic acid,12514244;,
AT4G34000,abscisic acid,16463099;,
AT4G34131,abscisic acid,,
AT4G34138,abscisic acid,,
AT4G34240,abscisic acid,11849595;,
AT4G34390,abscisic acid,17999646;,
AT4G34710,abscisic acid,0012428010;,
AT4G34990,abscisic acid,16463103;,
AT4G37260,abscisic acid,16463103;,
AT4G38620,abscisic acid,16463103;,
AT4G38630,abscisic acid,12671091;,
AT5G01540,abscisic acid,16258012;,
AT5G01810,abscisic acid,0012194854;,
AT5G02840,abscisic acid,16463103;,
AT5G03280,abscisic acid,10899978;,
AT5G03740,abscisic acid,16553900;,
AT5G06100,abscisic acid,17217461;,
AT5G08335,abscisic acid,12472689;,
AT5G11260,abscisic acid,18332440;,
AT5G13530,abscisic acid,17194765;,
AT5G15960,abscisic acid,7647294;,
AT5G15970,abscisic acid,7647294;,
AT5G16600,abscisic acid,16463103;,
AT5G16770,abscisic acid,16463103;,
AT5G23320,abscisic acid,12472689;,
AT5G23720,abscisic acid,16889651;,
AT5G25370,abscisic acid,18364466;,
AT5G25610,abscisic acid,,
AT5G27420,abscisic acid,16258012;,
AT5G35750,abscisic acid,18077346;,
AT5G37260,abscisic acid,16463103;,
AT5G37500,abscisic acid,14596925;,
AT5G37770,abscisic acid,16113225;,
AT5G40280,abscisic acid,8703061;,
AT5G45340,abscisic acid,15064374;,
AT5G45820,abscisic acid,12198122;,
AT5G46845,abscisic acid,17672844;,
AT5G47390,abscisic acid,16463103;,
AT5G48870,abscisic acid,11740939;,
AT5G49620,abscisic acid,16258012;,
AT5G50600,abscisic acid,17616511;,
AT5G50720,abscisic acid,12081371;,
AT5G51640,abscisic acid,11230571;,
AT5G51760,abscisic acid,17461784;,
AT5G52300,abscisic acid,16463099;,
AT5G52310,abscisic acid,16463099;,
AT5G52660,abscisic acid,16463103;,
AT5G54230,abscisic acid,16463103;,
AT5G57050,abscisic acid,11208021;,
AT5G58670,abscisic acid,11340187;,
AT5G59220,abscisic acid,16258012;,
AT5G59310,abscisic acid,10940464;,
AT5G59320,abscisic acid,10940464;,
AT5G60890,abscisic acid,16463103;,
AT5G61420,abscisic acid,16463103;,
AT5G62380,abscisic acid,16103214;,
AT5G62470,abscisic acid,16463103;,
AT5G63980,abscisic acid,11485991;,
AT5G64750,abscisic acid,16227468;,
AT5G65310,abscisic acid,12678559;,
AT5G66400,abscisic acid,1463831;,
AT5G66880,abscisic acid,17307925;,
AT5G67030,abscisic acid,11779861;,
AT5G67300,abscisic acid,16463103;,
AT5G67580,abscisic acid,16463103;,
GCA2,abscisic acid,9537523;,
JIN4,abscisic acid,,
AGE1,auxin,9761792;,
AGE2,auxin,9761792;,
ALF3,auxin,7657165;,
AT1G01060,auxin,16463103;,
AT1G04100,auxin,12036262;,
AT1G04240,auxin,11884676;,
AT1G04250,auxin,17919906;,
AT1G04550,auxin,10068632;,
AT1G04610,auxin,11209081;,
AT1G05180,auxin,7658471;,
AT1G08810,auxin,16463103;,
AT1G09540,auxin,16463103;,
AT1G09700,auxin,11148283;,
AT1G10210,auxin,8130795;,
AT1G12820,auxin,15917797;,
AT1G15050,auxin,12036262;,
AT1G15580,auxin,12036262;,
AT1G15690,auxin,16210544;,
AT1G15750,auxin,18258861;,
AT1G16510,auxin,,
AT1G16540,auxin,15710899;,
AT1G17345,auxin,,
AT1G17520,auxin,16463103;,
AT1G18350,auxin,16377756;,
AT1G18570,auxin,16463103;,
AT1G19220,auxin,15659631;,
AT1G19830,auxin,,
AT1G19840,auxin,,
AT1G19850,auxin,11283339;,
AT1G20470,auxin,,
AT1G20925,auxin,,
AT1G22640,auxin,16463103;,
AT1G22920,auxin,15923347;,
AT1G23080,auxin,,
AT1G23160,auxin,,
AT1G24590,auxin,17376809;,
AT1G25220,auxin,15980261;,
AT1G25490,auxin,11449059;,
AT1G28130,auxin,,
AT1G29420,auxin,,
AT1G29430,auxin,,
AT1G29440,auxin,,
AT1G29450,auxin,,
AT1G29460,auxin,,
AT1G29490,auxin,,
AT1G29500,auxin,,
AT1G29510,auxin,,
AT1G30330,auxin,16107481;,
AT1G31340,auxin,9624055;,
AT1G33410,auxin,16751346;,
AT1G34670,auxin,16463103;,
AT1G43040,auxin,,
AT1G48410,auxin,15829601;,
AT1G48660,auxin,,
AT1G48670,auxin,,
AT1G48690,auxin,,
AT1G49010,auxin,16463103;,
AT1G49950,auxin,16463103;,
AT1G51950,auxin,12036262;,
AT1G52830,auxin,7658471;,
AT1G53700,auxin,16460509;,
AT1G54990,auxin,11135112;,
AT1G56010,auxin,11114891;,
AT1G56150,auxin,,
AT1G57560,auxin,16463103;,
AT1G59500,auxin,,
AT1G59750,auxin,9188533;,
AT1G64520,auxin,11826296;,
AT1G66340,auxin,15773852;,
AT1G69960,auxin,8641277;,
AT1G70000,auxin,16463103;,
AT1G70940,auxin,,
AT1G71090,auxin,,
AT1G71230,auxin,15923347;,
AT1G72430,auxin,,
AT1G73590,auxin,16601150;,
AT1G74430,auxin,16463103;,
AT1G74660,auxin,16412086;,
AT1G74840,auxin,16463103;,
AT1G75580,auxin,,
AT1G75590,auxin,,
AT1G76190,auxin,,
AT1G76520,auxin,,
AT1G76530,auxin,,
AT1G77110,auxin,16601150;,
AT1G77850,auxin,15829600;,
AT1G79130,auxin,,
AT1G80390,auxin,12036262;,
AT1G80680,auxin,16751346;,
AT2G01200,auxin,12036262;,
AT2G01420,auxin,11893337;,
AT2G02560,auxin,15181201;,
AT2G04160,auxin,10080694;,
