Gene,Related Hormone,Function category,PMID
AT4G25470,abscisic acid,Hormone signal transduction,20037472;
AT4G26070,abscisic acid,Hormone signal transduction,19484493;
AT4G26080,abscisic acid,Hormone signal transduction,7910981;9165752;
AT4G26110,abscisic acid,Hormone signal transduction,19825649;
AT4G33950,abscisic acid,Hormone signal transduction,12468729;
AT4G36830,abscisic acid,Hormone signal transduction,19529829;
AT4G38630,abscisic acid,Hormone signal transduction,12671091;
AT4G39850,abscisic acid,Hormone signal transduction,20345608;
AT5G01540,abscisic acid,Hormone signal transduction,18987212;
AT5G01550,abscisic acid,Hormone signal transduction,18987212;
AT5G02310,abscisic acid,Hormone signal transduction,19255443;
AT5G03730,abscisic acid,Hormone signal transduction,10899977;
AT5G05700,abscisic acid,Hormone signal transduction,19255443;
AT5G10560,abscisic acid,Hormone signal transduction,18987212;
AT5G13530,abscisic acid,Hormone signal transduction,17194765;
AT5G13680,abscisic acid,Hormone signal transduction,16943431;
AT5G15970,abscisic acid,Hormone signal transduction,10205894;
AT5G19330,abscisic acid,Hormone signal transduction,15516505;
AT5G20270,abscisic acid,Hormone signal transduction,19286917;
AT5G20910,abscisic acid,Hormone signal transduction,15998807;
AT5G23720,abscisic acid,Hormone signal transduction,16889651;
AT5G40280,abscisic acid,Hormone signal transduction,8703061;10948248;
AT5G44200,abscisic acid,Hormone signal transduction,18829588;
AT5G47100,abscisic acid,Hormone signal transduction,15208400;
AT5G48870,abscisic acid,Hormone signal transduction,11740939;
AT5G52310,abscisic acid,Hormone signal transduction,8148648;8437577;
AT5G56270,abscisic acid,Hormone signal transduction,19622176;
AT5G57050,abscisic acid,Hormone signal transduction,9165752;
AT5G57390,abscisic acid,Hormone signal transduction,19109301;
AT5G57800,abscisic acid,Hormone signal transduction,19819982;
AT5G58230,abscisic acid,Hormone signal transduction,19825648;
AT5G60410,abscisic acid,Hormone signal transduction,20404572;
AT5G62470,abscisic acid,Hormone signal transduction,19625633;
AT5G63320,abscisic acid,Hormone signal transduction,19759343;
AT5G63980,abscisic acid,Hormone signal transduction,11485991;
AT5G66400,abscisic acid,Hormone signal transduction,12232173;
AT5G67300,abscisic acid,Hormone signal transduction,20016937;
AT5G67500,abscisic acid,Hormone signal transduction,19582214;
CPR22,abscisic acid,Hormone signal transduction,20164209;
GCA1,abscisic acid,Hormone signal transduction,9800207;
GCA2,abscisic acid,Hormone signal transduction,16651523;
GCA3-GCA8,abscisic acid,Hormone signal transduction,9800207;
GRS,abscisic acid,Hormone signal transduction,12805635;
HOS5,abscisic acid,Hormone signal transduction,9401119;
SAX1,abscisic acid,Hormone signal transduction,10377995;10377996;
UVS66,abscisic acid,Hormone signal transduction,Plant responses to genotoxic stress are linked to an ABA/salinity;
AT1G71960,abscisic acid,Hormone transportion,20133881;
AT1G79040,abscisic acid,Plant development,12008902;1546913;
HLQ,abscisic acid,Plant development,12008902;1546913;
AT3G53480,auxin,,20498067;
AT1G25220,auxin,Hormone biosynthesis,15980261;
AT1G70560,auxin,Hormone biosynthesis,18394997;18394996;17630275;17630276;
AT2G20610,auxin,Hormone biosynthesis,8589625;
AT2G46870,auxin,Hormone biosynthesis,19435937;
AT3G24280,auxin,Hormone biosynthesis,19307045;
AT3G51060,auxin,Hormone biosynthesis,20154152;
AT3G61970,auxin,Hormone biosynthesis,19435937;
AT4G01500,auxin,Hormone biosynthesis,19435937;
AT4G13260,auxin,Hormone biosynthesis,16818609;
AT4G13520,auxin,Hormone biosynthesis,19307045;
AT4G31500,auxin,Hormone biosynthesis,9675903;
AT4G32540,auxin,Hormone biosynthesis,11209081;16818609;17704214;18000043;
AT4G39950,auxin,Hormone biosynthesis,19263076;
AT5G05730,auxin,Hormone biosynthesis,15980261;
AT5G11320,auxin,Hormone biosynthesis,16818609;17704214;18000043;
AT5G25620,auxin,Hormone biosynthesis,16818609;
AT5G03730,auxin,Hormone biosynthesis and transport,19448626;
AT3G23140,auxin,Hormone metabolism,20466845;
AT4G37390,auxin,Hormone metabolism,14756757;
AT5G54510,auxin,Hormone metabolism,11169197;
AT5G55250,auxin,Hormone metabolism,16169896;
AT1G12820,auxin,Hormone receptor,15992545;
AT3G26810,auxin,Hormone receptor,15992545;
AT3G62980,auxin,Hormone receptor,17410169;12782725;10398681;15208392;
AT4G03190,auxin,Hormone receptor,15992545;
AT1G01030,auxin,Hormone signal transduction,19435937;
AT1G04240,auxin,Hormone signal transduction,9895319;
AT1G04250,auxin,Hormone signal transduction,8811856;
AT1G04550,auxin,Hormone signal transduction,12101120;
AT1G05180,auxin,Hormone signal transduction,1983791;11884684;7704045;
AT1G06400,auxin,Hormone signal transduction,19199049;
AT1G10940,auxin,Hormone signal transduction,10398681;
AT1G12980,auxin,Hormone signal transduction,19369397;
AT1G13980,auxin,Hormone signal transduction,19230664;
AT1G14280,auxin,Hormone signal transduction,20071603;
AT1G17730,auxin,Hormone signal transduction,19304934;
AT1G18970,auxin,Hormone signal transduction,19499151;
AT1G19180,auxin,Hormone signal transduction,19575013;
AT1G19220,auxin,Hormone signal transduction,15659631;
AT1G19850,auxin,Hormone signal transduction,9482737;
AT1G23540,auxin,Hormone signal transduction,20473553;
AT1G24180,auxin,Hormone signal transduction,19395411;
AT1G24260,auxin,Hormone signal transduction,19385720;
AT1G28330,auxin,Hormone signal transduction,19329488;
AT1G29440,auxin,Hormone signal transduction,19329488;
AT1G29450,auxin,Hormone signal transduction,19329488;
AT1G29460,auxin,Hormone signal transduction,19329488;
AT1G29500,auxin,Hormone signal transduction,19329488;
AT1G29510,auxin,Hormone signal transduction,19329488;
AT1G30330,auxin,Hormone signal transduction,17021043;
AT1G31340,auxin,Hormone signal transduction,15319484;
AT1G53940,auxin,Hormone signal transduction,19146828;
AT1G59750,auxin,Hormone signal transduction,16176952;
AT1G73030,auxin,Hormone signal transduction,19304934;
AT1G77850,auxin,Hormone signal transduction,16006581;
AT2G02560,auxin,Hormone signal transduction,15208392;
AT2G02950,auxin,Hormone signal transduction,20071603;
AT2G04550,auxin,Hormone signal transduction,19000167;
AT2G28350,auxin,Hormone signal transduction,16006581;
AT2G32410,auxin,Hormone signal transduction,17655650;
AT2G33830,auxin,Hormone signal transduction,19329488;
AT2G33860,auxin,Hormone signal transduction,7789281;
AT2G35635,auxin,Hormone signal transduction,15319484;
AT2G38325,auxin,Hormone signal transduction,20363771;
AT2G42430,auxin,Hormone signal transduction,19717544;
AT2G44910,auxin,Hormone signal transduction,19392702;
AT2G45420,auxin,Hormone signal transduction,19717544;
AT3G03530,auxin,Hormone signal transduction,20507939;
AT3G03540,auxin,Hormone signal transduction,20507939;
AT3G03850,auxin,Hormone signal transduction,19329488;
AT3G07390,auxin,Hormone signal transduction,19386804;
AT3G15540,auxin,Hormone signal transduction,14729917;
AT3G23050,auxin,Hormone signal transduction,2148800;
AT3G48360,auxin,Hormone signal transduction,19525324;
AT3G50060,auxin,Hormone signal transduction,17675404;
AT3G53250,auxin,Hormone signal transduction,19329488;
AT4G02570,auxin,Hormone signal transduction,17158585;12839993;
AT4G08920,auxin,Hormone signal transduction,20133010;
AT4G11260,auxin,Hormone signal transduction,12782725;15208392;
AT4G14550,auxin,Hormone signal transduction,11862947;
AT4G14560,auxin,Hormone signal transduction,15546359;
AT4G16420,auxin,Hormone signal transduction,20479223;
AT4G27260,auxin,Hormone signal transduction,19329488;
AT4G30080,auxin,Hormone signal transduction,16006581;
AT4G30480,auxin,Hormone signal transduction,19567478;
AT4G32280,auxin,Hormone signal transduction,19329488;
AT4G37050,auxin,Hormone signal transduction,20053799;
AT4G37060,auxin,Hormone signal transduction,20053799;
AT4G37070,auxin,Hormone signal transduction,20053799;
AT4G38850,auxin,Hormone signal transduction,19329488;
AT5G01990,auxin,Hormone signal transduction,19329488;
AT5G03310,auxin,Hormone signal transduction,19329488;
AT5G04190,auxin,Hormone signal transduction,20071603;
AT5G18010,auxin,Hormone signal transduction,19329488;
AT5G18020,auxin,Hormone signal transduction,19329488;
AT5G18030,auxin,Hormone signal transduction,19329488;
AT5G18050,auxin,Hormone signal transduction,19329488;
AT5G18060,auxin,Hormone signal transduction,19329488;
AT5G18080,auxin,Hormone signal transduction,19329488;
AT5G18560,auxin,Hormone signal transduction,17630277;
AT5G18930,auxin,Hormone signal transduction,20386573;
AT5G19140,auxin,Hormone signal transduction,19329488;
AT5G19180,auxin,Hormone signal transduction,17449645;11884684;
AT5G20570,auxin,Hormone signal transduction,12215511;
AT5G20730,auxin,Hormone signal transduction,15659631;
AT5G25890,auxin,Hormone signal transduction,11251090;
AT5G37020,auxin,Hormone signal transduction,15469491;17021043;
AT5G45710,auxin,Hormone signal transduction,19704429;
AT5G49980,auxin,Hormone signal transduction,16920877;
AT5G57740,auxin,Hormone signal transduction,20511490;
AT5G60450,auxin,Hormone signal transduction,16199616;
AT5G62000,auxin,Hormone signal transduction,16339187;
AT5G62470,auxin,Hormone signal transduction,19625633;
AT5G63980,auxin,Hormone signal transduction,20053710;
AT1G11000,auxin,Hormone transportion,19602625;
AT1G11310,auxin,Hormone transportion,19602625;
AT1G23080,auxin,Hormone transportion,15635403;
AT1G26700,auxin,Hormone transportion,19602625;
AT1G54990,auxin,Hormone transportion,7704045;
AT1G59870,auxin,Hormone transportion,20498067;
AT1G70940,auxin,Hormone transportion,11845211;15635403;
AT1G73590,auxin,Hormone transportion,12324609;15371311;15635403;
AT1G77110,auxin,Hormone transportion,15635403;
AT2G01420,auxin,Hormone transportion,11893337;15635403;
AT2G31190,auxin,Hormone transportion,20562234;
AT2G34650,auxin,Hormone transportion,15371311;
AT2G38120,auxin,Hormone transportion,16667854;7704045;
AT2G47000,auxin,Hormone transportion,17557805;
AT3G28860,auxin,Hormone transportion,17557805;17557807;
AT3G43300,auxin,Hormone transportion,19230664;
AT4G00120,auxin,Hormone transportion,19478783;
AT4G30960,auxin,Hormone transportion,19187042;
AT5G13930,auxin,Hormone transportion,15100399;17557805;
AT5G16780,auxin,Hormone transportion,19000164;
AT5G53760,auxin,Hormone transportion,19602625;
AT5G57090,auxin,Hormone transportion,15635403;9679062;
AT1G11680,brassinosteroid,Hormone biosynthesis,11437378;
AT1G17060,brassinosteroid,Hormone biosynthesis,15689343;15773851;
AT1G20330,brassinosteroid,Hormone biosynthesis,12215504;
AT1G76090,brassinosteroid,Hormone biosynthesis,11319028;
AT2G03760,brassinosteroid,Hormone biosynthesis,17039368;
AT2G14920,brassinosteroid,Hormone biosynthesis,17039368;
AT2G38050,brassinosteroid,Hormone biosynthesis,11161033;8602526;
AT3G13730,brassinosteroid,Hormone biosynthesis,15703058;
AT3G19820,brassinosteroid,Hormone biosynthesis,9761794;
AT3G30180,brassinosteroid,Hormone biosynthesis,16024588;
AT3G50660,brassinosteroid,Hormone biosynthesis,9490746;
AT4G36380,brassinosteroid,Hormone biosynthesis,9694802;
AT5G05690,brassinosteroid,Hormone biosynthesis,8612270;
AT5G13170,brassinosteroid,Hormone biosynthesis,10852933;
AT5G38970,brassinosteroid,Hormone biosynthesis,11402205;
SAX1,brassinosteroid,Hormone biosynthesis,10377996;
AT2G26710,brassinosteroid,Hormone metabolism,10611382;
AT2G36800,brassinosteroid,Hormone metabolism,16214889;
AT1G55610,brassinosteroid,Hormone receptor,15486337;
AT3G13380,brassinosteroid,Hormone receptor,15486337;
AT4G39400,brassinosteroid,Hormone receptor,9298904;
AT1G03445,brassinosteroid,Hormone signal transduction,14977918;
AT1G06390,Brassinosteroid,Hormone signal transduction,20128883;
AT1G07340,Brassinosteroid,Hormone signal transduction,20231470;
AT1G08420,brassinosteroid,Hormone signal transduction,14977918;
AT1G12980,Brassinosteroid,Hormone signal transduction,18830673;
AT1G16390,brassinosteroid,Hormone signal transduction,16672972;
AT1G18400,brassinosteroid,Hormone signal transduction,12454087;
AT1G19350,brassinosteroid,Hormone signal transduction,12007405;15680330;
AT1G24590,Brassinosteroid,Hormone signal transduction,18830673;
AT1G31880,Brassinosteroid,Hormone signal transduction,19037657;
AT1G32130,Brassinosteroid,Hormone signal transduction,20139304;
AT1G35140,Brassinosteroid,Hormone signal transduction,19216774;
AT1G61110,Brassinosteroid,Hormone signal transduction,20231470;
AT1G67260,Brassinosteroid,Hormone signal transduction,20435901;
AT1G69010,brassinosteroid,Hormone signal transduction,15680330;
AT1G71830,brassinosteroid,Hormone signal transduction,16473966;
AT1G73830,brassinosteroid,Hormone signal transduction,12454087;
AT1G75080,brassinosteroid,Hormone signal transduction,11970900;
AT1G78700,brassinosteroid,Hormone signal transduction,15680330;
AT2G16910,Brassinosteroid,Hormone signal transduction,20231470;
AT2G17230,Brassinosteroid,Hormone signal transduction,19216774;
AT2G18550,Brassinosteroid,Hormone signal transduction,20231470;
AT2G27210,brassinosteroid,Hormone signal transduction,14977918;
AT2G30980,brassinosteroid,Hormone signal transduction,16672972;
AT2G44910,Brassinosteroid,Hormone signal transduction,19392702;
AT3G03530,Brassinosteroid,Hormone signal transduction,20507939;
AT3G03540,Brassinosteroid,Hormone signal transduction,20507939;
AT3G11980,Brassinosteroid,Hormone signal transduction,20231470;
AT3G16570,Brassinosteroid,Hormone signal transduction,19473327;
AT3G23770,Brassinosteroid,Hormone signal transduction,20231470;
AT3G28470,Brassinosteroid,Hormone signal transduction,20231470;
AT3G28910,Brassinosteroid,Hormone signal transduction,19170933;
AT3G29030,Brassinosteroid,Hormone signal transduction,20035956;
AT3G42960,Brassinosteroid,Hormone signal transduction,20231470;
AT3G48430,brassinosteroid,Hormone signal transduction,18467490;
AT3G50750,brassinosteroid,Hormone signal transduction,15680330;
AT3G51590,Brassinosteroid,Hormone signal transduction,20231470;
AT4G00710,brassinosteroid,Hormone signal transduction,18653891;
AT4G03080,brassinosteroid,Hormone signal transduction,14977918;
AT4G08950,Brassinosteroid,Hormone signal transduction,19216774;
AT4G18710,brassinosteroid,Hormone signal transduction,16672972;
AT4G18890,brassinosteroid,Hormone signal transduction,15680330;
AT4G27330,Brassinosteroid,Hormone signal transduction,20231470;
AT4G28395,Brassinosteroid,Hormone signal transduction,20231470;
AT4G30610,brassinosteroid,Hormone signal transduction,11320207;
AT4G33430,brassinosteroid,Hormone signal transduction,12150929;
AT4G35230,brassinosteroid,Hormone signal transduction,18653891;
AT4G36540,brassinosteroid,Hormone signal transduction,12454087;
AT4G36780,brassinosteroid,Hormone signal transduction,15680330;
AT5G04240,brassinosteroid,Hormone signal transduction,18467490;
AT5G08130,brassinosteroid,Hormone signal transduction,15680330;
AT5G12210,Brassinosteroid,Hormone signal transduction,20180921;
AT5G22260,Brassinosteroid,Hormone signal transduction,20231470;
AT5G38860,brassinosteroid,Hormone signal transduction,15680330;
AT5G42750,brassinosteroid,Hormone signal transduction,16857903;
AT5G46570,brassinosteroid,Hormone signal transduction,18653891;
AT5G51550,Brassinosteroid,Hormone signal transduction,19216774;
AT5G52240,Brassinosteroid,Hormone signal transduction,19532123;
AT5G56110,Brassinosteroid,Hormone signal transduction,20231470;
AT5G58220,brassinosteroid,Hormone signal transduction,14977918;
AT5G61430,Brassinosteroid,Hormone signal transduction,20231470;
AT5G62000,brassinosteroid,Hormone signal transduction,18599455;
AT5G62320,Brassinosteroid,Hormone signal transduction,20231470;
ATLOG4,cytokinin,,19837870;
AT3G19160,cytokinin,Hormone biosynthesis,12529525;
AT4G24650,Cytokinin,Hormone biosynthesis,17062755;
AT5G18930,Cytokinin,Hormone biosynthesis,20386573;
AT2G19500,cytokinin,Hormone metabolism,14555694;
AT2G41510,cytokinin,Hormone metabolism,14555694;
AT4G29740,cytokinin,Hormone metabolism,14555694;
AT5G56970,cytokinin,Hormone metabolism,14555694;
AT1G27320,cytokinin,Hormone receptor,15166290;16361392;
AT2G01830,cytokinin,Hormone receptor,15166290;16361392;11234017;
AT2G17820,cytokinin,Hormone receptor,18077346;
AT5G35750,cytokinin,Hormone receptor,15166290;16361392;
AT1G10470,cytokinin,Hormone signal transduction,14973166;
AT1G12980,cytokinin,Hormone signal transduction,11752375;
AT1G31880,Cytokinin,Hormone signal transduction,19037657;
AT1G59940,cytokinin,Hormone signal transduction,14973166;
AT1G64520,Cytokinin,Hormone signal transduction,19812900;
AT1G74890,cytokinin,Hormone signal transduction,12941880;
AT1G76420,Cytokinin,Hormone signal transduction,19913077;
AT2G16070,Cytokinin,Hormone signal transduction,19567705;
AT2G25180,cytokinin,Hormone signal transduction,17132632;
AT2G28305,Cytokinin,Hormone signal transduction,19837870;
AT2G41310,cytokinin,Hormone signal transduction,14973166;
AT2G47430,cytokinin,Hormone signal transduction,12426401;8875940;
AT3G11540,cytokinin,Hormone signal transduction,15608330;
AT3G15150,Cytokinin,Hormone signal transduction,19682286;
AT3G16857,cytokinin,Hormone signal transduction,11691951;
AT3G29350,cytokinin,Hormone signal transduction,11828030;
AT3G48100,cytokinin,Hormone signal transduction,14973166;
AT3G50070,cytokinin,Hormone signal transduction,17726100;
AT3G57040,cytokinin,Hormone signal transduction,14973166;
AT4G31780,Cytokinin,Hormone signal transduction,19179086;
AT4G31920,cytokinin,Hormone signal transduction,17132632;
AT5G26140,Cytokinin,Hormone signal transduction,19837870;
AT5G49720,Cytokinin,Hormone signal transduction,19826767;
AT5G53280,Cytokinin,Hormone signal transduction,19567705;
AT5G53950,Cytokinin,Hormone signal transduction,19913077;
AT5G62920,cytokinin,Hormone signal transduction,14973166;
ATLOG2,cytokinin,Hormone signal transduction,19837870;
ATLOG3,cytokinin,Hormone signal transduction,19837870;
ATLOG5,cytokinin,Hormone signal transduction,19837870;
ATLOG6,cytokinin,Hormone signal transduction,19837870;
ATLOG7,cytokinin,Hormone signal transduction,19837870;
ATLOG8,cytokinin,Hormone signal transduction,19837870;
AT1G02630,cytokinin,Hormone transportion,"Sun et al., Arabidopsis SOI33/AtENT8 Gene Encodes a Putative Equilibrative Nucleoside. Journal of Integrative Plant Biology, 2005, 47 (5): 588-603;"
AT4G05120,cytokinin,Hormone transportion,17253988;
AT1G17440,ethylene,Hormone biosynthesis,17526916;
AT3G49700,ethylene,Hormone biosynthesis,9952448;
AT3G51770,ethylene,Hormone biosynthesis,15118728;7768447;
AT4G01370,ethylene,Hormone biosynthesis,17630279;
AT5G57740,ethylene,Hormone biosynthesis,20511490;
AT5G65800,ethylene,Hormone biosynthesis,9539813;3985973;
AT2G43790,ethylene,Hormone biosynthesis and signal transduction,17630279;18273012;
AT1G04310,ethylene,Hormone receptor,7569898;
AT1G66340,ethylene,Hormone receptor,8211181;9695954;7768447;
AT2G40940,ethylene,Hormone receptor,12953109;7569898;
AT3G04580,ethylene,Hormone receptor,7768447;
AT3G23150,ethylene,Hormone receptor,9576967;
AT1G12270,ethylene,Hormone response,19253305;
AT1G12610,ethylene,Hormone response,19253305;
AT1G23860,ethylene,Hormone response,19253305;
AT1G24180,ethylene,Hormone response,19253305;
AT1G54270,ethylene,Hormone response,19253305;
AT1G59900,ethylene,Hormone response,19253305;
AT1G62430,ethylene,Hormone response,19253305;
AT1G74910,ethylene,Hormone response,19253305;
AT1G77120,ethylene,Hormone response,19253305;
AT1G79530,ethylene,Hormone response,19253305;
AT2G16940,ethylene,Hormone response,19253305;
AT2G20950,ethylene,Hormone response,19253305;
AT2G30860,ethylene,Hormone response,19253305;
AT2G37340,ethylene,Hormone response,19253305;
AT2G37550,ethylene,Hormone response,19253305;
AT2G45820,ethylene,Hormone response,19253305;
AT3G01040,ethylene,Hormone response,19253305;
AT3G05420,ethylene,Hormone response,19253305;
AT3G12390,ethylene,Hormone response,19253305;
AT3G13224,ethylene,Hormone response,19253305;
AT3G13920,ethylene,Hormone response,19253305;
AT3G16420,ethylene,Hormone response,19253305;
AT3G18240,ethylene,Hormone response,19253305;
AT3G19770,ethylene,Hormone response,19253305;
AT3G20550,ethylene,Hormone response,19253305;
AT3G22850,ethylene,Hormone response,19253305;
AT3G24500,ethylene,Hormone response,19783066;
AT3G45780,ethylene,Hormone response,19253305;
AT3G46930,ethylene,Hormone response,19253305;
AT3G52930,ethylene,Hormone response,19253305;
AT3G53710,ethylene,Hormone response,19253305;
AT3G61860,ethylene,Hormone response,19253305;
AT4G04500,ethylene,Hormone response,19253305;
AT4G12400,ethylene,Hormone response,19253305;
AT4G15530,ethylene,Hormone response,19253305;
AT4G17720,ethylene,Hormone response,19253305;
AT4G19050,ethylene,Hormone response,19253305;
AT4G22340,ethylene,Hormone response,19253305;
AT4G25500,ethylene,Hormone response,19253305;
AT4G26770,ethylene,Hormone response,19253305;
AT4G27450,ethylene,Hormone response,19253305;
AT4G30160,ethylene,Hormone response,19253305;
AT4G32180,ethylene,Hormone response,19253305;
AT4G32285,ethylene,Hormone response,19253305;
AT4G37580,ethylene,Hormone response,8612271;7768447;
