"gene" "PI1" "PI2" "PI3" "PI4" "PI5" "PI6" "PI7" "PI8" "PI9" "PI10" "PI11" "PI12" "salinas1" "salinas2" "salinas3" "salinas4" "salinas5" "salinas6" "salinas7" "salinas8" "salinas9" "salinas10" "salinas11" "salinas12" "PI1" "PI2" "PI3" "PI4" "PI5" "PI6" "PI7" "PI8" "PI9" "PI10" "PI11" "PI12" "salinas1" "salinas2" "salinas3" "salinas4" "salinas5" "salinas6" "salinas7" "salinas8" "salinas9" "salinas10" "salinas11" "salinas12" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24"
"11" "gene11" 277.4643869 223.4967555 185.7984074 1070.443782 781.2207384 914.2199815 575.0867274 422.2285586 539.442548 1695.78729 1150.854615 2097.274584 184.3860376 145.6418283 212.1910846 1279.897992 874.4952118 487.7884144 179.3948745 177.7348826 234.517802 169.9666169 317.5379897 154.4068312 -0.599043416425605 -0.699912049065736 -0.770372447771296 0.883081057459221 0.342506417084157 0.591089714991676 -0.0427700030737918 -0.328470784722888 -0.109391041358928 2.05188433724042 1.0333735673166 2.80228737175578 -0.77301224883005 -0.845427422767331 -0.721043003587529 1.2745631220847 0.516841816804633 -0.205935612452383 -0.782341022098778 -0.785443643221904 -0.679313074052756 -0.799962982292698 -0.52414352894602 -0.82904512406949 -4.15862328934297 -2.62937673834663 -0.835103510624987 -0.42083874511066 1.27397477220894 -0.0260287928207247 0.21673171875009 -0.179260711105667 0.0839085980211222 0.038006640490689 0.0313881695643302 0.221261757139806 0.0872804021286693 -0.199281835172842 -0.154178785145342 -0.178816471568624 0.0597310781471147 -0.0117096277958126 -0.0071752003219518 0.0182757832433901 0.023167484959216 -0.0714698979227433 0.00577533458113189 -2.22044604925031e-16
"12" "gene12" 25.90672038 30.87447374 8.675979915 112.9607195 99.51607007 122.1491341 58.35473991 52.75794439 68.25676115 114.0833166 112.6096453 184.1502558 19.9418988 11.83352902 28.14098174 168.3056867 169.6372748 208.4803067 12.06478468 27.44691682 19.29535916 27.0574797 34.17368817 21.43149171 -0.746111989546892 -0.666426857891799 -1.02250127922536 0.650275648542185 0.434617063614751 0.797662198163999 -0.225630290714111 -0.315405558433487 -0.0667971504631794 0.668282641085214 0.644644251043074 1.79218974158211 -0.841790570679477 -0.971852686610987 -0.710273372425311 1.53803530128363 1.55939460907722 2.18245535435432 -0.968143235602114 -0.721406504551537 -0.852161374662716 -0.727653261572215 -0.613505885943037 -0.817896790424283 -4.2417774725046 -2.08229955910066 -1.45022429891634 -0.396011388876034 -0.617710267315116 1.69228190739202 -0.876398401110138 0.115640480698885 0.869910352763272 -0.0141239145470008 -0.262252467652557 -0.283674545173079 -0.123796968836374 0.529266586891315 -0.308414342133233 -0.173713973361945 0.155792965996568 -0.15909357993888 -0.088992309969514 0.383505541862253 0.141189143148604 0.0129177024283023 0.223030664412014 -1.33226762955019e-15
"13" "gene13" 414.2868799 292.1086373 146.6492014 1255.605634 778.617416 1173.546103 685.1370419 533.10759 710.4573628 1389.455806 1015.591222 1705.449193 565.1199192 283.2734007 547.9587296 3758.832456 1760.081234 1058.503118 132.677904 200.9064446 266.513032 257.4877451 286.1591398 230.9006848 -0.497368802834661 -0.650797581295941 -0.833462375705121 0.559140981487031 -0.039850443424518 0.456092408070772 -0.157241063088469 -0.348156340627049 -0.12544435507186 0.727227114907911 0.257736105605615 1.12404473429355 -0.307955954205249 -0.661892679163672 -0.329506602677831 3.70263875439552 1.19265046258937 0.311623930840528 -0.851007226964925 -0.765327310330948 -0.682939985471888 -0.694273744370869 -0.65826883079551 -0.727661196161777 -3.81427730657052 -1.45854155033311 -1.57544534496901 0.0865903646538912 0.0776933058298784 -0.527551379355228 -1.38368891397894 -0.294862599481349 0.432874973086749 0.441320020684621 0.611629388509745 -0.308738750348525 0.57919884990597 0.336755938811671 -0.582703354145486 -0.107756639127009 0.256648979467164 0.174984205641996 -0.126775811193729 0.246395615082242 -0.0596146102163481 0.166702157943445 0.0679665224134104 -8.88178419700125e-16
"14" "gene14" 125.492876 115.192287 117.0078014 124.7609279 157.1027549 120.4187605 282.6559183 232.3338562 284.6912037 248.8791855 216.0102054 272.2707543 135.3556287 143.1150662 142.8609383 245.146055 193.6032684 129.7322086 95.65538879 117.2323239 170.9032285 142.0388763 134.7251466 164.6193167 -0.768509191557305 -0.941227975076145 -0.910785692733947 -0.780782391219084 -0.238479323286098 -0.853591224885116 1.86677792456547 1.02298488029669 1.90090529518492 1.30041456413463 0.749272269419548 1.69264099970383 -0.603131983662576 -0.473022860214348 -0.477284040011561 1.23781797294193 0.373555997173051 -0.697424676914136 -1.26881985283795 -0.907020931993312 -0.00707498202213116 -0.491068256488606 -0.613703816141516 -0.11244270437623 -3.39281484970364 0.19283414620858 1.62392958082011 -2.12145723182725 3.52541427732102 0.465652047106522 -2.57064252585963 -1.35787085014375 -0.448372534093844 -0.154385956586988 -0.629615751845585 0.412878713270375 0.0786934416024457 -0.170807676674184 -0.416982470679506 0.00716516151717153 -0.0285662452210716 -0.753940136387363 -0.20139569312713 0.288379972726019 -0.0494478647093562 0.105159790612161 -0.365008867895478 1.54737334057131e-15
"15" "gene15" 423.5796344 137.6619243 117.9428444 1707.462355 1056.769434 1561.372222 562.8832158 367.8450789 727.2532714 3281.297272 2137.00276 3860.56886 156.760099 83.69605008 172.4218605 589.9896264 288.6255604 230.9001458 140.574074 181.8060378 261.8283599 153.3158062 279.5057549 151.9370674 -0.343745525779155 -0.622328951547395 -0.641542202904292 0.907203379989229 0.273201859090356 0.764860711856347 -0.20801532244679 -0.398050393425967 -0.0478616433803596 2.44066670626653 1.32572532985 3.00507897502318 -0.603720678097018 -0.674910507651518 -0.588460667897898 -0.181604238213542 -0.475237794107519 -0.531482451871235 -0.619491503529599 -0.579317210994385 -0.50134760001523 -0.607076618822891 -0.484123660805463 -0.608419990585379 -3.44123535898406 -2.88229367277075 -0.430840081697113 -0.0326736998359814 1.82009633788661 0.244758794187716 1.22095561867101 -0.150522561173709 -0.465202912285096 -0.167770648635179 -0.22426462459857 0.440299056650145 -0.00799266143637109 -0.157474063538604 0.0505747247751409 -0.325439086520569 -0.00474926323576735 -0.103971379843274 0.0375655928686099 -0.0881379262979086 -0.124425141403871 -0.225538159623789 -0.140137039612408 2.4980018054066e-16
"16" "gene16" 20.74494187 5.765841157 2.560305705 112.1607203 96.85176744 104.5046847 25.88576206 23.51541987 40.1647159 116.0759395 112.5019304 219.9861683 10.61430479 9.640838054 19.49110736 176.2470555 130.8459634 241.3987207 11.44771096 18.86647869 23.62998947 24.33051887 25.13488924 20.91867431 -0.64635075556765 -0.858474942113952 -0.90386962990123 0.648219459861323 0.431424123844599 0.53979971191143 -0.573549836348372 -0.607117065685027 -0.371340669985436 0.70366422279223 0.653051453202623 2.17517263844167 -0.789814184445312 -0.803599781021525 -0.664106736423471 1.5557680492927 0.912827600827188 2.47840314251246 -0.778012033617893 -0.672952317413674 -0.605494606255147 -0.595574168975637 -0.584183204078118 -0.643890470853781 -3.82846213244788 -2.35120838925934 -2.07364452678045 0.249545709503812 -0.526521508929967 1.82797760395359 -0.520369551211341 0.466123955796672 0.806315666827232 -0.0490143463353182 -0.548499097996678 -0.548674809776793 -0.131580846884695 0.482956007174197 -0.550420326489675 0.0295305658548036 0.294540849887505 -0.111882762865076 -0.0349099899900381 0.221540035115491 0.0721353719245166 0.151861774678158 0.234558027162056 -8.32667268468867e-16
"17" "gene17" 33.92366573 44.24853024 22.53450821 61.71156822 74.03987823 52.20890954 83.19610166 78.84951542 117.4426131 58.71950083 81.45394424 107.5816719 86.69503436 44.85892267 75.69678972 90.62076154 154.9770933 108.9030801 19.51443321 35.54141072 32.08411844 37.71076262 33.06232264 27.94199397 -0.900014171427353 -0.602395118773496 -1.22831196829868 -0.0990148744097926 0.256354432610709 -0.372933459132659 0.520286859083165 0.394994476042771 1.50745858241189 -0.185262617537639 0.470068355933598 1.22321233633506 0.621145232039538 -0.584800271249082 0.304115681923712 0.734306155667881 2.58940754437255 1.26130254626199 -1.31536704389537 -0.853381914811007 -0.953039983168661 -0.790849330802227 -0.924842789198314 -1.07243865997859 -4.28824282232703 0.572514975867149 -0.0566670824471063 -0.883031338327968 0.0649313290216463 1.75633166814732 -1.98831719834172 -1.49259017772707 0.280192162843556 -0.176329372586353 -0.457697309529245 0.74008131937366 0.558666933277746 0.745452258098392 0.864720028050172 -0.177551415007259 -0.429574204714089 -0.84142903813882 0.137629266760464 0.0225858449961936 0.264543667983776 0.252654252078633 0.38405921907887 -1.08246744900953e-15
"18" "gene18" 32.78184104 34.09630241 18.0316448 26.65685792 27.68657928 34.14405733 73.49822474 71.71804526 71.86923861 151.831537 64.99341556 147.8796187 24.42079463 21.80393582 30.66856664 60.58698349 88.84994852 15.55782127 17.28436722 25.98824692 26.42164353 33.01990612 27.51782243 32.34157538 -0.413868444172687 -0.378854042048769 -0.806781704570799 -0.577024720089637 -0.549595174727929 -0.377581954477054 0.670727774812095 0.623307651567645 0.627335114737112 2.75735744516148 0.444178090346501 2.65208690646389 -0.636588600016053 -0.706296047314301 -0.47016149418433 0.326800289863319 1.07966442521228 -0.872679002003763 -0.826687559760981 -0.594835068079153 -0.583290321669691 -0.407526906389205 -0.554090491472814 -0.425596167187166 -3.60275833187427 -0.716940128510648 0.0266752418050937 -1.92333695909736 2.28233172561648 0.17390605281558 -0.276186771187083 -0.246918721451268 -1.0529941221977 0.27955766997712 0.276284811889053 1.02882643624116 -0.00622501866735496 -0.369891570644875 -0.13153181281403 0.309430758202871 -0.0979820145977184 -0.386830352312145 -0.236126407995965 0.0687135998179624 -0.0490860127646518 -0.652920608998384 -0.381284364987858 1.26287869051112e-15
"19" "gene19" 124.9140359 31.52693918 0 567.2561873 375.4840905 368.9719471 142.6867744 113.222687 151.1379709 1982.488259 1262.63403 2704.983622 60.68458855 29.43321038 72.40931641 1215.708607 645.0455016 195.7361007 69.949833 83.08100264 117.5978527 120.4174559 151.0976597 103.5567794 -0.468429620719746 -0.604918806897413 -0.650996760088879 0.178072116427999 -0.102210902780705 -0.111728675408365 -0.442454012748051 -0.485517020935909 -0.430102232116396 2.24649356332259 1.1943962036911 3.30245105184669 -0.562303670833195 -0.60797887996988 -0.54516748585719 1.12581271602239 0.291764484806895 -0.364920181755639 -0.548762124740278 -0.529570365699966 -0.479122531474737 -0.475001562308453 -0.43016114863779 -0.499644153145063 -3.54813986439877 -2.31121654508329 -1.6731362665339 -0.13781102216187 1.76709904747616 -0.136835534782323 0.803448693470128 0.485262466489528 -0.314003107592354 0.348415031700545 -0.18122769169931 0.389043389007578 0.135211758558514 0.0121800859993499 -0.0487145511890797 0.0279156553442126 0.108247382338707 0.0986540276040529 0.0295897786791621 0.0254054089465961 -0.080655861783081 -0.0283938829436826 -2.70894759214491e-05 7.91033905045424e-16
"20" "gene20" 56.04579969 29.52077019 22.87003612 251.7142885 277.7596909 200.5824035 111.1081348 70.12804292 97.26299287 331.8120994 197.5987648 362.6250368 12.26788456 24.24218389 38.86236906 246.9911951 157.8920097 125.040856 20.56594226 24.63282119 40.69660545 31.81151769 51.95971879 35.91342913 -0.564218856361551 -0.80776429174174 -0.86882948017729 1.23235472699357 1.47149635988639 0.762875995814972 -0.0586518266466604 -0.434919620008955 -0.185774064879887 1.96779052466688 0.735481056020139 2.25070633648249 -0.966175483794249 -0.856230801406712 -0.721992331942742 1.18898859846789 0.370904686430651 0.069274540058598 -0.889985028460112 -0.852644078485094 -0.705150884124834 -0.786731286020349 -0.601736113478614 -0.749068677292778 -4.06246894285545 -3.19201906000576 -0.622626831390435 -0.331041180747983 0.533748540810886 -0.0605815363755765 0.0308301471584179 -0.42700790226646 0.365701496529575 -0.295303842229063 -0.475822373482798 -0.0414506116676106 0.263945473936121 -0.316139091387388 -0.24551580978928 0.233666164405498 -0.152105766796071 -0.00131640341800156 -0.101159137148501 -0.0809943851477361 0.0653815542175563 -0.299072651173511 -0.17066150636628 -4.9960036108132e-16
