gene	PI1	PI2	PI3	PI4	PI5	PI6	PI7	PI8	PI9	PI10	PI11	PI12	salinas1	salinas2	salinas3	salinas4	salinas5	salinas6	salinas7	salinas8	salinas9	salinas10	salinas11	salinas12
gene33	45.02680172	2.499655603	0	447.4476464	447.1892671	527.2407812	42.89606812	23.81913952	48.32813359	246.0865277	287.2051321	447.5712229	38.13323028	18.28404005	30.74051805	147.898715	194.6568401	200.4288844	34.90279621	39.92253378	43.15423708	22.10025336	59.25358072	31.32737166
gene34	69.3123528	68.9603571	17.4288526	512.5848735	518.7182198	405.1588235	185.8839687	130.0964647	161.8587141	513.9016127	339.9650409	739.5357453	34.25956654	19.64433173	46.32148344	431.2303938	455.9431405	229.7773139	31.40810186	43.03898439	58.60668776	23.3307399	70.40929564	39.54733897
gene35	89.85365468	57.45285617	17.22484239	666.8318774	961.2023043	415.0722175	216.9088576	131.3456592	135.5487806	463.8262672	349.1792641	571.6430676	36.9249552	32.13775077	52.0463271	618.052738	916.7366303	295.5716142	57.43275913	61.0875462	93.48709295	49.7954469	78.53740104	68.41102042
gene36	79.85049069	47.5437316	17.46534944	385.4700468	177.6955713	366.0443159	140.1077274	107.6639517	154.3907091	340.5655809	218.5628945	509.897866	33.60138567	29.37209556	41.4459754	466.8521286	367.1848859	244.1053513	41.16609774	49.54916797	66.68568161	34.2369981	68.8869798	34.40926731
gene37	72.87510687	72.07514185	17.16919222	537.312083	632.9304273	437.8466656	227.9189901	152.4379814	186.3006771	632.8098553	341.4092014	843.7058888	47.54718384	24.48149803	61.03384372	546.0056781	596.1340477	185.4408289	35.81150752	43.56634295	66.13161598	34.88676218	75.75189381	33.46409524
gene38	197.6553672	62.57031626	77.04245279	383.4709484	360.2655158	357.4457789	193.5100072	135.8269799	194.4989351	273.4271041	385.1393913	264.8482364	98.5424224	68.96218255	81.19471036	183.817952	114.6537555	205.8973993	108.0193966	146.4706105	156.8914166	113.4657623	130.8771871	118.0554199
gene39	1390.595641	579.7997056	1041.914133	1184.90381	1040.922883	1124.762057	931.0174562	833.1387759	1438.93977	699.1711174	1172.743605	633.1327741	662.3476648	593.2766449	666.9059415	739.7136118	236.2578139	621.8723171	513.5718371	534.7002317	789.9688421	299.4310741	744.0742739	390.5453999
gene40	474.9615265	506.5793991	475.6529588	450.8009056	493.9638083	543.728376	499.6436591	554.2971075	536.3378257	322.7507783	482.4524501	266.0388436	339.4020935	308.4559419	323.9230771	238.9351566	225.6199625	276.4891683	363.3329191	367.1245634	357.6651572	349.134411	389.4762298	376.5404023
gene41	605.7603607	464.4214703	639.3812732	418.6638206	460.2599677	499.7742665	466.1664419	506.4659897	689.0616806	270.1294902	368.2381448	229.6974998	563.6539616	408.7901122	510.4238915	252.4391833	335.6608806	617.9875979	553.8830829	504.8855357	495.3304217	462.5949916	589.7708072	550.1513069
gene42	892.5766153	645.947592	882.9422001	672.7644896	714.93088	780.4717924	858.1262708	889.8208467	1029.533602	438.9031448	694.6077296	315.0401284	699.5798005	582.5761581	660.3545859	436.8895673	465.8641022	595.7011892	821.7791825	795.4193539	832.1723455	687.1231462	793.2567766	727.3972869
gene43	162.2340323	150.9651907	205.7881399	156.4712337	132.2095837	160.0266905	166.2384164	185.9276782	173.880345	78.32867433	142.6483174	61.81980756	171.0075864	197.8528417	199.0162222	143.8834762	117.6777991	157.5564893	201.3384965	181.3442599	189.9898325	188.330479	179.8211701	179.4619793
gene44	202.4509141	74.32300131	80.40723705	315.5505921	380.3241078	369.4423201	182.5752707	143.9057985	221.7111578	261.3997478	417.6701761	278.8828547	107.0378966	70.10201594	96.54912055	172.4226633	131.4195894	237.4906976	100.7733251	142.2848443	155.4528657	119.5908007	122.8683397	132.0007411
gene45	674.9336104	576.902389	539.8059362	491.449528	622.7911115	580.1517832	650.5013916	563.0669986	729.7717946	368.982866	469.8529916	355.3894845	479.6378745	391.4731087	498.73873	283.0717525	490.7770302	686.0215102	426.0809863	476.1325008	483.3653215	521.8666036	499.7626447	526.2101816
gene46	412.4294694	261.5750222	289.8667288	359.892463	318.2910459	368.6934039	325.5815203	296.4241382	391.8020513	236.4117693	297.9003277	218.4438703	228.9602375	239.6853596	268.3947184	366.286972	218.0784932	385.7610257	281.2138048	299.0626078	413.4536093	325.6092015	368.8826956	382.9412334
gene47	150.3993037	176.6968406	147.868331	208.7961439	170.7840688	210.6137616	171.2223876	177.8644517	171.0335139	153.0285887	164.2658221	148.051967	120.8205705	84.763363	95.29915564	138.4470538	123.8224276	164.3501107	127.292374	136.2892935	128.5338367	145.9415494	141.041003	154.4813847
gene48	563.9485906	429.9122432	536.8853289	400.2742429	398.1064714	492.0303362	488.0003686	559.7115522	583.5757006	274.297026	348.1380012	204.2746276	593.0136251	433.260263	553.8050698	293.2738307	379.8864129	704.4567222	636.7697705	510.8773667	460.7262553	440.8049046	554.8355485	434.7897789
gene49	389.3004422	501.2047116	523.8635851	297.2550205	318.5508253	327.2622807	399.2419679	438.4493722	425.9030913	211.7201357	233.2461475	131.0009928	364.8834372	430.5955104	384.4980753	212.3358102	242.0694176	414.8044466	441.6750478	449.102761	400.6846518	401.7593723	398.4011855	443.9077876
gene50	143.9018486	117.9202895	106.2322792	121.1937816	106.4826528	136.8629785	101.3522587	103.2914445	105.3039886	82.41166498	94.67549631	75.66120962	157.5041466	143.7707328	156.2791296	129.3378822	129.9354955	168.0903688	143.391457	158.3866267	149.5934951	151.0301686	144.3154878	170.1735285
gene51	255.4420452	323.4016221	266.1899095	296.0294132	248.3272656	282.5053506	190.0784065	210.5007151	190.591316	201.5353769	236.6267407	233.9468123	254.6208285	226.5175234	298.3766484	119.7683539	124.0738734	191.0281235	239.6156103	296.0553762	260.6787717	196.9754789	244.8258355	251.5242475
gene52	268.8695103	200.0828054	165.8902728	735.3797169	521.5628866	559.3145834	144.681849	149.5987675	184.4941042	595.1369271	598.3491117	652.6483212	149.3828723	121.498077	149.7249934	617.167365	283.937902	281.7356083	117.2969514	154.5917197	235.0872703	152.4485019	175.3599684	124.7056538
gene53	331.3333161	192.149586	196.646455	325.0847629	310.4306508	391.0803327	224.2745243	198.609818	282.4607798	258.8372001	272.6648871	389.0268199	231.2383177	181.0706284	253.2391929	184.6753639	227.607957	453.1987013	236.5838599	214.6209324	230.2040115	188.879048	243.8208281	223.5654317
gene54	313.59578	286.1656192	319.3596157	276.3382091	223.3928408	257.5276998	303.8632436	326.5802285	311.7430131	149.4770915	198.528571	142.2188082	357.6849364	338.1940667	355.690868	332.2142888	364.3268765	316.3674979	413.9757179	426.3195771	391.1875272	417.9612731	396.331163	401.0327644
gene55	37.83713099	55.46624864	47.84760302	43.72581802	36.81445783	54.17582874	42.03042918	56.54689408	56.61774886	35.85441548	47.54776713	24.64102088	41.23229729	36.95268553	35.01511057	29.88368352	30.05046494	39.49254955	45.47597253	32.70837907	39.79226754	39.53985504	40.55768899	39.912564
gene56	415.8152347	616.1120986	562.3196854	449.4570524	499.6470134	468.1105236	522.9352237	645.5033486	490.3333338	309.3006558	440.1297329	255.0905543	465.1690339	693.0252896	559.5161188	340.5175471	439.1535419	524.2722952	757.4743673	669.6077088	561.0286253	672.9604766	659.9133283	651.536011
gene57	133.024319	120.8895133	143.2302098	113.9145164	91.55854982	113.7839889	102.4616133	118.3187122	143.6541461	74.08819778	87.29162451	70.35168167	122.9925893	145.5209295	119.8395322	102.356246	94.1244509	118.9978899	140.9151122	118.274524	144.3513139	127.8042533	151.9448774	129.0765411
gene58	55.85247741	50.51196399	44.65660429	68.25439172	57.84020283	61.43687848	28.16460143	27.39814588	33.09694373	58.78721837	73.82484174	40.52391657	22.8018429	37.03868931	28.59881011	58.88290511	48.612153	19.76614447	30.77585105	34.7030993	46.84071839	42.10751311	40.17678241	28.51364338
gene59	508.0191339	367.3101827	498.5570723	298.283732	340.5286946	290.3153265	487.8420005	548.2289243	633.07286	194.7169698	405.0024797	252.4933601	63.8839965	42.68507719	64.73198006	4.920453872	17.78387071	72.35427176	83.59555923	109.4485206	88.93068668	74.46707355	127.698744	78.8602869
gene60	83.1508274	112.7610467	92.25081442	137.0277806	157.5636065	112.5446608	138.9368485	123.3959829	116.0891887	112.5050988	135.449365	90.47935781	95.64349874	101.6270425	75.91785944	188.2077287	210.4242729	93.19746101	121.3774411	86.4773159	121.0310886	133.1002812	134.8968297	129.1935643
gene61	212.2750331	298.6568619	285.8168922	290.4922769	261.6972565	256.9377068	263.6188349	296.2721317	249.8742584	211.6720947	204.8524754	209.3126469	355.6316125	215.4006113	325.6327899	294.2969149	369.0290894	345.2935702	293.4127475	317.3435535	313.7851189	305.1953262	295.5730162	312.6498819
gene62	129.0851934	132.3783955	121.4307385	365.4858211	331.5145378	348.6014262	190.6730519	276.0835161	183.9292495	355.6298513	294.4213607	302.1162092	154.9960159	171.8560766	163.8744385	244.5047869	414.6015212	248.5290154	405.0478428	371.6903985	253.5684419	317.1003617	257.8914817	325.7342252
gene63	71.75737578	81.21864024	85.21423813	111.2784328	110.9055517	96.68151985	101.7872573	89.00034706	86.69201032	111.061242	96.91720276	70.25874996	59.09657505	82.27007275	77.27887501	144.846725	110.3310652	65.522824	56.04470094	79.51714589	76.95971528	49.30259841	58.70151798	64.09140827
gene64	80.08343537	27.0644592	59.94921044	77.87310168	63.16045068	78.71823811	61.63532041	49.59211887	86.56545283	55.02843835	77.54852981	73.80732399	36.92644552	20.75550371	50.83353916	49.01573333	39.1274054	48.86782752	28.66337509	36.74479738	44.20185179	52.04433899	43.35622544	44.26771608
gene65	2163.716451	1585.825362	1764.053109	1528.300677	1643.83986	1763.508935	1408.727255	1232.440139	1630.752602	1055.937897	1295.279445	1601.605079	1528.174878	1372.808604	1573.697578	2211.860574	2169.566499	2155.961504	1694.900784	1636.190125	2084.555289	1886.158995	1788.847074	1877.056459
gene66	114.1304248	86.52137055	107.6657921	108.1984214	119.7337617	126.4227728	114.4148953	110.2275309	169.3176671	91.13195333	125.3335902	77.87095247	87.46536045	101.2223223	107.9742159	103.6731271	60.91856019	106.3994341	111.5037678	105.1501508	114.1705411	100.3983873	120.8857485	126.6891796
gene67	822.9242974	974.9829597	1039.7049	830.9964503	1117.454841	735.3512231	1249.836658	1183.314131	1104.183136	777.5932205	753.2253505	431.5253999	1131.389372	1107.898364	1007.513268	663.0713028	1126.619018	1111.868028	1253.882757	1233.805163	1105.219728	1444.734723	1202.72432	1272.178154
gene68	52.49152218	43.72396133	45.40304659	35.50904681	41.64958508	54.06898302	41.0509393	50.51072296	46.85910385	42.08318231	44.1086175	24.38218931	28.69652221	47.19148117	43.81927227	22.33562069	28.86259735	39.54350257	61.44982252	40.24809062	46.85527172	36.12717047	20.21201526	39.80024194
gene69	1058.215167	956.7035334	1359.867364	1004.768997	1158.091226	1069.568187	1264.991673	1263.547533	1303.985543	871.6835995	1012.220836	538.6498004	1094.894203	1115.485138	1017.152194	877.5228218	1021.156349	1542.021023	1508.934709	1455.357329	1366.39412	1390.158495	1561.707119	1276.835134
gene70	445.0239034	278.9942989	302.099029	270.4727067	266.8750917	355.7844635	289.1436377	266.1828888	356.9141599	213.7114188	244.0677258	273.431221	349.2829141	210.5992266	323.8393122	214.1751069	340.8212309	418.6822451	247.9431435	309.2482692	321.6748066	276.7147727	282.7523993	284.4556309
gene71	171.1847751	107.9356398	127.7777014	204.2690691	126.8601588	185.8970726	110.0353741	79.22919773	138.0153493	132.2925606	167.9334105	178.9628957	117.1842314	144.2658331	134.9661942	211.4145739	98.83368137	156.3947288	134.8012187	130.9452315	142.7541369	128.5431845	150.4686913	138.1842434
gene72	225.7324023	228.0616689	242.0158794	163.2133212	193.3284975	135.1884009	221.2139613	250.4715746	230.6842242	128.238034	137.6236136	94.82923853	219.2776537	186.4320681	202.4534568	115.7851404	176.3732025	195.667862	196.2256208	226.3942693	198.2979016	230.4287925	215.1096473	251.8370391
gene73	36.15229609	37.24288744	19.07788599	103.6357404	100.5693679	83.9451225	56.63236046	51.63193817	56.12530434	120.2622669	80.35999351	98.39208009	20.48399066	27.07212451	27.59453311	58.95612937	87.75537544	56.0246279	33.64900168	36.34576681	36.13925805	44.69927948	26.86951333	37.75185406
gene74	75.75867636	47.42930502	33.04340047	320.3757273	216.1755006	298.8141935	73.48247791	63.13594716	89.19721629	328.1159663	235.8380493	393.4919561	32.6788154	43.2833738	46.8748361	179.0533301	73.28062747	80.50712408	99.47913329	128.2125516	117.2657697	133.5274742	83.3340723	130.7238093
gene75	249.8682754	212.99803	226.9440172	184.6787628	173.2781047	178.2124445	256.5550736	268.7004384	272.1596276	131.2925103	140.2745409	116.2135883	278.6432883	179.779158	271.9325083	208.3159715	189.4554357	282.5932126	196.9833947	229.9441112	236.1319965	209.4117412	207.5725074	257.578084
gene76	299.2604988	274.6232188	330.3146936	464.7417136	491.2373417	407.8794949	557.962704	392.0312029	375.8093852	426.3954151	417.4871214	508.2439303	158.3433089	168.8708824	152.2025933	352.3314498	210.2987203	122.1748785	201.5652529	198.8615835	239.2853384	166.367791	233.0116782	184.0345536
gene77	621.270117	711.8899506	1015.330925	1076.282198	1032.993168	738.7568971	896.0762795	830.2762021	824.6676649	1015.474989	863.4440545	681.7413672	738.8145329	820.967499	697.2727275	951.5422473	542.5145891	637.9518754	810.1945968	731.0164869	911.4576287	656.2032939	851.6774171	609.1469552
gene78	19.22386954	2.866036195	4.273194002	120.250838	81.9092218	122.9802979	13.37676366	13.29865211	7.901634652	120.2323419	126.0338923	149.2006083	1.921418643	7.037094118	6.472148891	40.41207292	7.524880143	21.51360162	20.20892835	20.20557995	22.24585112	15.00875879	28.38837277	16.36266588
gene79	203.9270172	294.4091343	234.795363	331.5058399	321.7872203	241.8158645	255.8385673	269.0558131	219.9096484	252.0502539	280.8608276	257.1703314	230.1219363	291.1279431	231.4313908	265.7649078	352.9111391	201.6957273	236.266725	304.8514498	242.2488516	316.2197214	254.1383966	331.8618419
gene80	461.7815806	704.937964	557.7594183	561.2925338	546.9070292	457.3636637	503.2042621	473.5355453	495.2950231	551.6224656	388.910705	383.7100519	446.9100042	406.7931042	403.6557078	686.3775363	702.0113026	422.4349474	391.4569742	476.4669024	472.9756146	510.3254653	443.7542035	436.2752308
gene81	1221.288369	1309.969301	1181.950756	1124.821832	1232.376628	962.059978	1366.926562	1136.811302	1201.539581	849.8564008	926.9265317	977.3979241	1113.45004	1045.547883	1149.88928	1403.463303	1173.241378	717.7549649	970.5168184	1126.38691	1381.842192	1227.317766	952.2244969	1188.646755
gene82	202.2245011	168.4049411	215.1797088	168.8846794	139.3234977	146.9267193	193.7491843	157.8554162	146.1954839	123.6325139	149.5465232	70.7930482	178.2561147	258.656123	207.1697457	176.2143143	153.4567628	149.1071904	187.1326293	175.7465596	254.7759628	197.5920769	213.1745739	195.6585123
gene83	91.29822715	33.25643107	11.73850307	360.6648256	295.1706644	319.8007412	115.837333	52.07221561	124.0967308	354.862456	350.3016609	450.0080985	24.99671631	7.532793813	34.12956976	297.2493886	88.25045119	39.92241058	20.38740629	27.03949359	49.44522277	20.55903461	43.43008487	25.20653463
gene84	77.52928303	126.3078656	110.7776257	119.7271492	83.53626853	128.732146	67.08383888	90.06668979	64.03575281	110.2677864	87.54574753	108.805909	91.58706498	115.3728526	88.31727415	50.37347072	104.0794742	99.43375325	99.63768897	116.011427	123.0106026	108.4688051	86.25051047	92.80734325
gene85	66.45729406	47.20024365	60.90059668	153.2629482	114.8261478	128.9995728	92.64532565	69.99573167	78.4051876	122.5347171	113.4969997	147.9269904	79.67415455	89.9789238	64.54107455	105.0603715	111.4688464	108.1207533	133.3803026	161.8829466	146.6247515	150.3345828	112.9826341	131.6886421
gene86	811.911317	570.1295699	485.3556634	2047.41582	1299.014528	1597.26534	387.3296818	375.9749036	544.0299072	1677.802598	1811.325613	2161.719882	382.6853369	430.6842773	529.0489317	1214.321762	485.0304243	646.5998462	485.6033534	467.6022972	679.9477806	624.4289123	639.7695991	600.2327939
gene87	232.5776799	69.91175328	89.91143681	190.5159332	162.4391047	244.2306933	111.2718283	65.02362405	159.1064455	207.7138153	166.749688	310.318459	42.83981524	38.61292755	43.7206846	99.87481473	55.09881866	65.41870296	57.91908578	52.28735917	82.39343097	30.84554688	77.51964799	48.59463907
gene88	24.72296135	6.609215581	6.856031197	152.7510439	141.0027686	141.6406358	14.21063723	20.4348937	15.27870737	157.1601538	177.1323255	188.6546653	7.137283598	9.434569865	11.33944784	92.41036457	27.17421077	26.06411615	30.29717661	11.86832732	28.67419728	17.472971	41.39963895	24.71378455
gene89	96.9459353	148.0191302	97.20799962	87.43205379	114.8669649	94.61459958	136.1574981	166.5314468	111.5789225	75.33318492	74.16023358	98.41874146	117.4081267	122.7987534	88.07522863	54.56534234	147.8203877	139.2130317	102.8933426	153.0073215	86.1520551	97.18622559	75.2587375	82.27662353
gene90	48.14894481	35.51892482	44.06078053	89.19775424	120.4181538	96.54820246	78.26964347	56.71322637	81.27846325	106.2216916	83.44126292	139.0490729	22.16222896	18.94212752	25.98790456	106.3865019	79.55823969	64.77103197	31.11011581	29.68998245	40.36421348	34.15753451	52.1489441	41.35546416
gene91	63.88788982	114.1646971	85.53202818	91.25685935	68.11036371	86.92265383	91.74157151	105.169192	65.920289	78.04970784	53.31225263	52.28651828	134.1238717	89.79612723	116.2946815	90.11006817	204.5119514	165.2064944	117.9120531	127.8989922	116.7855356	125.3213293	96.00304557	111.9398819
gene92	282.593039	352.5336582	324.3111495	286.6255615	298.9565243	250.7099047	360.4546025	315.4106038	365.9593159	229.0118313	279.5333207	178.0775967	241.1932925	304.8927152	312.9486852	210.740818	221.9986118	343.0170145	303.4672139	299.6404879	334.5093252	279.1403413	337.6243978	328.6208225
gene93	278.4543161	246.3199728	339.1490145	173.2673591	191.4256479	171.533268	239.7152016	222.4623998	228.1233948	124.9545429	164.3961797	112.6497628	217.4979925	256.7804855	219.2024145	226.0333553	218.1622815	212.8435907	226.6414245	199.9525394	264.2555132	178.4362778	311.9798651	185.4383816
