"","5th.SAM.1","5th.SAM.2","5th.SAM.3","5th.SAM.4","4th.leaf.1","4th.leaf.2","4th.leaf.3","4th.leaf.4"
"1",139.754221703848,143.165622249448,105.172961509761,124.695198376936,109.892445117927,126.542718811018,143.775802804233,113.960969874088
"2",28.7565485771841,35.5395064349163,38.0520081173159,25.6021112860575,32.1469649787659,21.9128229190374,0.480256323302687,36.7405561054901
"3",73.2753116650358,94.3428190384677,68.1059566528805,62.5386504840202,84.5889912978957,86.7208184666424,116.600871782507,99.1420545060833
"4",130.580465061655,115.972509580855,128.193014398321,148.701310435759,94.0599341733803,133.56930072769,118.505365074988,122.949152281968
"6",799.607014828556,774.38408654852,766.146884070478,765.343072507232,592.702656626081,673.667830511258,670.113619231974,649.327251665273
"7",55.0900993768568,60.8974005751903,54.0786266272644,37.2355430008492,88.813328142192,68.8610149164963,62.3321694203766,58.4383288012231
"8",130.77315331363,100.633443937105,100.151727684081,85.5384975811863,214.815433973187,199.868311204513,153.257871017665,134.645674915897
"9",120.860676707336,105.771013335546,119.175003746071,118.127328460711,83.8361469502487,120.85500163025,122.494143913164,124.959977385651
"11",53.6333906384944,79.2173764201802,86.1182624800525,72.8507850195844,67.6751618320285,77.3621841502945,62.4617429596877,85.3061309978143
"12",83.6250285925753,82.2652310387514,61.1016776051721,77.2915195759098,91.8853649105314,78.8649886413549,87.9434596235087,76.2980575930163
"13",503.472670145316,497.083677659833,497.753185557302,558.24577434643,509.853209169844,459.211702346558,524.157428553792,485.702366332327
"14",36.2610369934514,45.701064788778,47.0662464497463,38.8200354346032,36.1039560618709,36.1641892972845,43.320722744926,39.6557104618663
"15",79.9392354832843,86.4177939302709,101.142876169812,95.7531096663012,105.054076568376,96.5213677585009,123.242217889309,98.1069255844968
"16",28.7910551272654,33.5336333791516,29.0462701909348,40.4136779072702,18.4245627487199,34.8242653534931,39.9012249134245,35.7032847489413
"17",15.7836279970746,0.0452355513298013,14.0188804922628,15.003206073826,9.86286542751608,9.92309974470738,14.0547995718815,13.8864374036916
"19",68.6476962305618,54.8979218143733,50.0799081928823,56.308899493342,87.2681365529157,60.2153253289844,56.8470472941022,47.5168380784583
"22",38.2252175080847,37.6091912034822,38.0570567770082,40.0014594039545,28.8492412880974,31.6797177792429,37.8095721192302,28.7348378991814
"24",115.937976792195,117.931867932587,117.179312781703,142.728224589987,102.01199536782,60.6241345483413,61.4160798001759,66.3880711787381
"25",1485.15425986614,1426.75633892609,1345.05741038103,1433.12775374643,1301.01402390585,1492.40195119141,1276.42595019568,1284.51389365914
"26",13.905302818091,16.2701861323164,17.0257318779381,22.0039865255711,19.4667821422263,38.8900668742124,35.6399890354968,25.7569607699804
"27",126.963842235279,109.784823019255,104.161915425981,113.650269174713,104.950574832262,153.852394738551,111.617635230699,139.830369454383
"28",1081.11234514442,1123.76236697441,1199.70919640019,1002.40444223969,1208.87002237425,996.65432185312,1214.83213709594,1010.71718894597
"29",9.45152786803818,0.0245845387661969,6.00915225998227,8.86092157410473,7.55338541095938,0.0436924913002887,0.0417614194176253,0
"30",26.4812775395089,16.3226260780398,26.0377178337291,28.9285114693804,34.9881611819412,24.0256950557953,20.8018841261606,14.8330923867553
"31",45.6098315274185,43.704915688133,46.0673871469888,42.3634741192134,56.0679849978571,58.9422043207591,68.0950948093195,49.5290314284232
"32",217.480887963608,214.700128785308,253.374015059864,306.84009145616,345.326161128832,437.322787972092,428.436279823805,392.529039801511
"33",0.403378419078269,26.431730199005,38.0484429042056,42.7509073583197,21.6567611637203,27.1352474464711,22.8702553843866,21.8017115562327
"34",47.4576522186302,38.6094303800956,33.0525279086555,31.7023016858296,91.4296642121947,94.1058776427501,48.8893895647349,62.4010371780173
"35",39.3128865354203,47.7043199453924,35.0561792303654,39.8568025198908,71.3313214614997,44.272515166369,57.6657529031167,56.4986683310553
"36",60.1440981108729,44.7459834945217,44.0689451521277,45.7832405969451,46.8368649332382,49.2946932844882,53.2745389112951,60.5052707654959
"37",98.1258937992712,76.2427240294692,79.1178670742522,64.9810592680374,81.0726827023781,79.1501182176895,94.4835148660172,108.130468606015
"39",10.6731504691148,9.17282123381275,15.0205514895688,14.9062755700373,13.5893242735506,15.2161706074485,19.3204248583549,5.91908149644477
"40",55.1847829033206,57.9005110756998,47.0756489578924,58.3723890214634,62.5763069256846,62.2084256049004,70.3084812281417,49.5165366300411
"41",123.08770757489,92.7017368142375,142.195943716047,127.961087156058,145.151972942312,141.938768119554,133.052733815956,142.756681051411
"43",9.69175261371011,13.222272643927,18.0242069902193,16.6235861269758,24.7822984891961,22.7337801140808,10.1095079427991,14.8548114139189
"44",38.1010918294535,39.5910599448237,30.0479217730733,30.0691593818012,37.447287610149,44.1661806667251,21.0784645097083,21.7698383782592
"45",180.159902071636,191.89480698371,176.258112560918,137.470652071781,187.552502847894,151.475940301571,173.826446182472,159.56231700131
"48",18.819550802635,12.1785912629893,0.0037402177993906,9.49496749430091,12.8083367581272,16.1017977034473,0.208807097088126,10.9070984838882
"49",391.297271099504,443.559057239066,363.552163271997,322.427857466961,486.122133700031,352.351088000897,287.22250720347,333.928765360338
"50",24.4709345287372,38.5129470772612,22.0359227544612,20.4296308226333,32.7985991872579,28.42426319068,26.2268357034282,27.7511790413803
"52",18.045305436284,15.2655126433283,23.0304223284445,15.4417643743902,31.2335134494601,17.6909224454822,19.7068795322303,20.8094199508552
"54",10.5506047638173,7.12445485719966,9.01302729019032,6.83079997971741,10.9007887556253,17.1403711954556,0.208807097088126,11.9028778114919
"56",31.8492120146902,35.5395064349163,26.0430398434101,33.9694326054011,46.0064217727815,42.1212193005387,17.9510741534369,20.7719122964645
"58",8.35724266522864,0.016717486361014,9.00952765646712,0,6.60728585920971,0.0382309298877528,0.0365412419904221,0
"61",8.34816380642614,0.0157341048103663,0.0014595971900051,7.16969496788236,19.2872331362927,20.4474476387963,0.287109758496173,14.8730820515491
"62",165.435482469499,160.56486266567,137.220978036266,177.285375227514,297.678998218736,477.288427565529,384.00829585805,385.626977503368
"64",80.8803243049629,91.4328276178992,94.1353693395295,84.80930889148,85.6635519947196,58.6077981059554,65.6772243605006,89.2802534776907
"65",42.6785239386036,55.8463974563376,46.0715431986511,54.9920322419917,48.0913358324957,53.207949668823,35.2705655307094,48.5833605959813
"67",17.8202044265461,0.0432687882285059,15.0191684840454,10.3719901680616,16.3554098024341,10.0509802318716,16.2781276966841,17.8547156004385
"69",22.0671101152219,25.3165360789838,0.00556471428689687,12.8635072585047,18.0794379505404,25.8814629985493,11.1798871067952,19.8302787627972
"70",12.6533627613545,11.1688068630705,0.00364899297501431,15.124765992342,17.2952255883097,19.4789289308355,0.318430823059391,23.8296929702201
"72",72.3578969691727,75.2267668176265,87.1229812305937,78.0603766441485,99.8966257358154,82.4590455546988,114.442359732119,82.2251021632811
"73",387.302085994359,493.576292246535,464.684153393526,472.267643574845,624.413758159785,805.66578203249,578.776474051024,626.374205155986
"75",0.115250976879505,8.1289818181576,15.0166050529902,7.79386665660498,35.253605208407,41.3001744769474,41.1512808952955,29.709247982394
"76",17.0426267107408,22.3299797632944,21.0297850318358,15.3739318756642,9.06107146416625,12.9207998497176,13.9170697355448,0
"77",148.996679088394,146.463245770683,174.250153907028,177.155006034425,101.737577380054,88.5184417702453,133.016012771163,136.898452786873
