"","genotype","gene","Ambr","Aother","Bmbr","Bother","Cmbr","Cother","Ambr.1","Aother.1","Bmbr.1","Bother.1","Cmbr.1","Cother.1","PC1","PC2","PC3","PC4","PC5","PC6","ssom.unit.classif","ssom.distances"
"4620","wt","Solyc03g083380.2.1",18.6371002780394,5.17799627676591,43.1731143276597,4.01289427224903,47.2732724151664,10.7484048475837,0.520336971370154,-0.283960047245857,1.519519107952,-0.959085025126885,0.34401615318063,-1.14082716013004,2.48340162192128,-0.263201442321113,0.154950297263864,-0.605929445256917,0.498209255813329,8.88178419700125e-16,12,0.0566655945979429
"4631","wt","Solyc03g093850.1.1",3.21950574845007,6.23468912724786,12.0801644467318,9.17634131850101,8.05700072986189,3.7148412612837,-0.40352218774328,-0.400958227142528,2.03575342356327,-0.464929110145117,-0.488788661170142,-0.277555237362204,1.44839893701309,-0.15494877649542,-1.11478487180777,-1.44178464230281,0.775845085094844,-3.33066907387547e-16,12,0.0645949041237672
"4644","wt","Solyc03g097120.2.1",3.59527011906262,4.06503646251955,3.93862133788496,3.3028476897885,6.30525971994701,3.30145099410374,-0.450306056671804,-0.431778915989754,2.03808041140011,-0.395849343232642,-0.455610832683395,-0.304535262822517,1.40723307190121,-0.201899276554196,-1.0743352002987,-1.46300821632635,0.852362971236689,-4.16333634234434e-16,12,0.0348643228898521
"4650","wt","Solyc03g097530.2.1",2.69931368101019,2.37596415131115,3.17650970806504,0.377741227856915,6.19366966857659,1.40403208693414,-0.965950394431981,0.0794425676162382,1.64852807290769,0.142061508129338,-1.12810319876916,0.224021444547878,0.212503413078238,0.534948102412531,-1.46210644737084,-1.6254582066599,0.810066756797891,-2.63677968348475e-16,12,0.0499799419694865
"4655","wt","Solyc03g098210.2.1",7.82084439032968,9.77383314099368,7.96674559470708,5.24817331405746,10.862833229137,10.6905532044796,-0.415246700106801,-0.459141007685359,2.03997894780921,-0.353303919272254,-0.390071938112815,-0.422215382631985,1.4727675496603,-0.232602463063447,-0.967052857310272,-1.42772554624343,0.950459179412719,-4.44089209850063e-16,12,0.0390843326590185
"4680","wt","Solyc03g112350.2.1",32.2391052491976,28.8471746291584,38.5246054940626,17.2620758154096,35.2382949829713,27.9780838465162,-0.358441039056636,-0.481504559638811,2.03951582012606,-0.384168162998121,-0.40429778714059,-0.411104271291898,1.51359500905208,-0.237565762367734,-1.00282569146015,-1.37958952639935,0.927831003285561,-6.10622663543836e-16,12,0.0182860830932742
"4716","wt","Solyc03g114680.2.1",17.7146489154676,19.0358520218035,17.1997637460561,8.50277716164242,15.9892629540402,14.0876741047517,-0.375748103445892,-0.445473357105948,2.04062336846806,-0.388342773404073,-0.409073301135175,-0.42198583337697,1.50916064942844,-0.202946121106089,-0.985251259879455,-1.40466813692855,0.920513972237965,-2.77555756156289e-16,12,0.0344349643191757
"4726","wt","Solyc03g115520.2.1",17.8591392785565,20.0525792520815,20.2221626265446,12.333761381488,26.5360010567579,16.3727153468485,-0.0945161737510705,-0.155387694427495,1.98285274771593,-0.632647407307392,-0.671892124572003,-0.428409347657963,1.69878075869132,0.270505103764272,-1.114403797191,-1.24469419109543,0.653904511881486,5.55111512312578e-17,12,0.0220912442533433
"4739","wt","Solyc03g116840.1.1",14.3410076761327,7.20425626069795,18.7162913347916,9.31294836447903,25.2590546317029,13.8759659001978,0.22184244407696,-0.240464834841994,1.91425391162189,-0.544200773520525,-0.773841671690969,-0.57758907564536,1.83828945048022,0.365445983473926,-1.15211779965923,-0.900816388073443,0.823345970688188,4.44089209850063e-16,12,0.0444104418554589
"4745","wt","Solyc03g117490.2.1",2.60226646232173,5.56450655853274,4.47590614670231,3.11016267057183,5.90673682072557,2.82911919695663,-0.4940656414382,-0.457003813957125,2.03694317610062,-0.379445799471261,-0.400170507711793,-0.306257413522238,1.38675849624527,-0.268379332332308,-1.03058908043778,-1.49293802069957,0.865863842999265,-3.33066907387547e-16,12,0.0312408860334116
"4759","wt","Solyc03g118380.1.1",33.0409012433819,45.2018689146579,51.303663316718,22.9200397468506,60.629477532827,50.1538626789301,0.25592047015319,-0.607299804851893,1.92200025116098,-0.562096982473736,-0.350812603847029,-0.657711330141516,2.01011623610765,-0.225092239096345,-0.911478563606696,-0.820149126491688,0.904186925464794,-3.33066907387547e-16,12,0.0258465036912885
"4768","wt","Solyc03g119050.2.1",3.17081100521349,6.94648123028816,14.5764635431504,3.3028476897885,5.41053098184791,5.97013401674073,-0.29674635309563,-0.587489017083012,2.00253366138039,-0.582341298006861,-0.0757405514251363,-0.460216441769755,1.72632462362394,-0.545859671832475,-0.754682944578241,-1.34711898934407,0.763122981957541,-3.33066907387547e-16,12,0.039488920982435
"4794","wt","Solyc03g121760.2.1",14.4857483145729,17.4554250843991,22.7997470424611,9.99255753282025,24.5663048173734,13.961465164512,-0.407092543742278,-0.245580418879825,2.03266397995518,-0.474825137210513,-0.51225503190073,-0.392910848221838,1.49018207669043,0.0266845823050465,-1.00795032462227,-1.4868409427663,0.785672390296043,1.11022302462516e-16,12,0.012811141971681
"4809","wt","Solyc04g005380.2.1",16.8661876937507,17.8768307258018,28.1642391703242,6.43946420045473,42.7923371280137,26.6550985774186,0.37214607499719,-0.78799858268007,1.76252813516695,-0.951749275540461,0.0766262346971989,-0.471552586640809,2.20256223363144,-0.726600044398387,-0.715118217485694,-0.693813653228738,0.419370024209094,-3.33066907387547e-16,12,0.0377341383259727
"4848","wt","Solyc04g011560.2.1",5.02958924567091,8.50562530009726,9.14568274780613,6.18906767413656,7.15828442921355,2.54271831938964,-0.434319158028089,-0.800086460899085,1.71572655966227,-0.704462525867027,0.705854968136313,-0.482713383004385,1.73007368074869,-1.28942087570154,-0.0601021209915004,-1.32888308947681,0.523031364988028,-5.55111512312578e-16,12,0.0661784976933753
"4866","wt","Solyc04g014850.2.1",5.09064795189388,7.63301337428622,9.52099836132195,4.73118441861839,6.8043342256228,6.44291504774382,-0.8271179487965,0.45502959164145,1.74135749318135,-0.81307421433316,-0.639159766396699,0.0829648447035613,0.998653033154579,0.526696434805524,-0.962839472915922,-1.89671897592889,-0.0471326642260212,9.0205620750794e-16,12,0.0437311819668817
